SerialNumber,5ce3a2d912549071dd2c03fe2638c0729a7271f0
TotalPlayTime,4795.72
TotalDeathCount,6
TotalKilledEnemies,281
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",54.60,46,0,550.00,16.37,33.6048,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",30.00,8,1,0,1,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",10.70,12,0,160.00,3.70,43.2438,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,0,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",42.70,40,0,560.00,14.63,38.2689,6,0,93.00,2.90,32.0701,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,12,0,5,1,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab (7)-AttackHitbox:10"
"C1_Stage2_4","",116.27,130,0,1890.00,43.13,43.8175,1,0,15.00,0.77,19.5669,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",110.00,34,8,12,9,1,"C1PistolMob-AttackHitbox:60;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",38.83,20,0,223.00,7.67,29.0867,7,0,111.00,3.97,27.9831,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,7,1,2,1,0,"C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_6","",64.13,62,0,891.00,22.83,39.0223,5,0,48.00,2.10,22.8574,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,17,2,0,3,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",58.88,10,0,100.00,2.45,40.8151,14,0,85.50,7.28,11.7393,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",40.00,4,0,0,1,0,"C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (7)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Stage3_1","",20.82,11,0,150.00,4.42,33.9635,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,3,1,3,0,0,"C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",34.95,28,0,440.00,10.88,40.4289,5,0,33.00,2.25,14.6667,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,10,2,3,2,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage3_3","",38.02,34,0,451.00,14.30,31.5386,5,0,19.50,2.83,6.8823,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,9,0,0,0,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
