SerialNumber,ff0b816e554335e5832fe4f62625068e9866cc9b
TotalPlayTime,2475.42
TotalDeathCount,11
TotalKilledEnemies,285
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",56.10,37,0,530.00,15.45,34.3047,3,0,30.00,1.33,22.5003,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,17,3,0,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",9.78,9,0,150.00,2.90,51.7248,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,3,1,0,""
"C1_Stage2_3","",46.33,64,0,584.00,16.85,34.6587,8,0,66.00,4.63,14.2445,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,15,8,5,7,0,"C1TonpaMobPrefab (7)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",56.12,78,0,1060.00,20.70,51.2079,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,21,11,10,14,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_5","",31.30,30,0,303.00,7.65,39.6084,5,0,18.00,2.13,8.4374,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,6,4,6,4,0,""
"C1_Stage2_6","",51.03,73,0,911.00,21.88,41.6295,5,0,33.00,1.47,22.4999,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,18,3,0,8,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",82.40,16,0,200.00,6.52,30.6906,13,0,12.00,8.82,1.3611,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff}",90.00,10,2,9,0,1,"C1SandMecha-MeleeHitbox:20;C1SandMecha-DashAttackHitbox:20;C1SandMecha (4)-LandingImpactHitbox:50"
"C1_Stage3_1","",24.07,9,0,150.00,4.65,32.2587,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,6,2,3,1,0,"FallDamageArea-:20"
"C1_Stage3_2","",33.98,34,0,441.00,10.83,40.7075,6,0,36.00,4.02,8.9628,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,11,4,2,4,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",68.88,81,0,771.00,22.58,34.1402,14,0,69.00,9.43,7.3146,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",50.00,28,13,1,17,1,"C1PistolMob-AttackHitbox:40;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",80.40,2,0,0.00,1.83,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,0,0,""
"C1_Stage3_5","",133.52,113,0,1366.00,33.98,40.1967,51,0,492.00,28.87,17.0435,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff}",110.00,37,9,0,13,2,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1SandMecha-MeleeHitbox:50;C1TonpaMobPrefab (8)-AttackHitbox:10"
"C1_Stage3_6","",144.67,46,0,507.00,24.85,20.4022,30,0,416.00,15.67,26.5531,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",60.00,47,9,8,5,1,"C1EliteTonpaMob (1)-Rush Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:40"
"C1_Stage3_7","",119.02,59,0,0.00,18.58,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,12,5,0,5,0,"C1MidBoss-KickKick 1:10;C1MidBoss-TangTang 1:10"
