SerialNumber,5b9afe0110e1aac181cb4e478789b67f110ed65e
TotalPlayTime,2432.79
TotalDeathCount,4
TotalKilledEnemies,256
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",69.17,65,0,550.00,22.32,24.6451,1,0,15.00,0.87,17.3083,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,13,6,1,1,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",13.27,13,0,150.00,4.47,33.5830,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,1,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",47.92,53,0,578.00,14.88,38.8347,12,0,66.00,8.20,8.0488,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,16,12,6,4,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",68.37,90,0,1040.00,25.67,40.5194,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,21,11,12,5,0,"C1TonpaMobPrefab (11)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;FallDamageArea (3)-:20;C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",36.98,30,0,290.00,8.62,33.6558,5,0,34.00,2.38,14.2656,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,8,4,4,3,0,""
"C1_Stage2_6","",61.48,77,0,814.00,19.85,41.0075,15,0,143.00,12.32,11.6102,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,14,9,1,8,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",76.18,12,0,490.00,2.42,202.7569,30,0,333.00,23.33,14.2713,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,9,2,8,5,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha (1)-MeleeHitbox:10"
"C1_Stage3_1","",24.93,12,0,150.00,4.10,36.5856,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,5,2,3,1,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",56.83,42,0,550.00,14.02,39.2388,6,0,33.00,4.88,6.7579,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,14,4,6,2,1,"C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:30;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_3","",37.10,41,0,441.00,12.60,35.0004,10,0,36.00,8.20,4.3903,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,8,2,1,2,0,""
"C1_Stage3_4","",60.12,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,1,0,0,""
"C1_Stage3_5","",106.03,75,0,584.00,23.13,25.2446,47,0,342.00,33.98,10.0638,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun}",60.00,30,4,3,6,0,"C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage3_6","",96.60,39,0,343.00,13.08,26.2165,24,0,177.00,13.42,13.1925,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",30.00,16,0,21,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage3_7","",212.28,39,0,0.00,15.70,0.0000,55,0,0.00,24.35,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",140.00,39,14,1,9,1,"C1MidBoss-TangTang 1:60;C1MidBoss-KickKick 2:60;C1MidBoss-Taaang:10;C1MidBoss-TangTang 2:10"
