SerialNumber,2894069bb7a88089c397945b27c0284fad3bb7f8
TotalPlayTime,5192.10
TotalDeathCount,87
TotalKilledEnemies,501
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",221.18,61,0,560.00,22.05,25.3959,102,0,1080.00,48.65,22.2003,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",140.00,44,10,0,7,3,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:90;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",84.48,45,0,300.00,16.70,17.9644,11,0,165.00,6.53,25.2537,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff}",50.00,8,0,14,2,2,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:30"
"C1_Stage2_3","",1508.42,311,0,3283.00,116.90,28.0837,408,0,6663.50,238.44,27.9467,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun};{order:24,from:Shotgun,to:Staff};{order:25,from:Staff,to:Shotgun};{order:26,from:Shotgun,to:Staff};{order:27,from:Staff,to:Shotgun};{order:28,from:Shotgun,to:Shotgun};{order:29,from:Shotgun,to:Shotgun};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Shotgun,to:Shotgun};{order:32,from:Shotgun,to:Staff};{order:33,from:Staff,to:Shotgun};{order:34,from:Shotgun,to:Staff};{order:35,from:Staff,to:Shotgun};{order:36,from:Shotgun,to:Staff};{order:37,from:Staff,to:Shotgun};{order:38,from:Shotgun,to:Shotgun};{order:39,from:Shotgun,to:Shotgun};{order:40,from:Shotgun,to:Shotgun};{order:41,from:Shotgun,to:Shotgun};{order:42,from:Shotgun,to:Staff};{order:43,from:Staff,to:Shotgun};{order:44,from:Shotgun,to:Shotgun};{order:45,from:Shotgun,to:Staff};{order:46,from:Staff,to:Shotgun};{order:47,from:Shotgun,to:Shotgun};{order:48,from:Shotgun,to:Staff};{order:49,from:Staff,to:Shotgun};{order:50,from:Shotgun,to:Shotgun};{order:51,from:Shotgun,to:Staff};{order:52,from:Staff,to:Shotgun};{order:53,from:Shotgun,to:Staff};{order:54,from:Staff,to:Shotgun};{order:55,from:Shotgun,to:Staff};{order:56,from:Staff,to:Shotgun};{order:57,from:Shotgun,to:Staff};{order:58,from:Staff,to:Shotgun};{order:59,from:Shotgun,to:Staff};{order:60,from:Staff,to:Shotgun};{order:61,from:Shotgun,to:Staff};{order:62,from:Staff,to:Shotgun};{order:63,from:Shotgun,to:Staff};{order:64,from:Staff,to:Shotgun};{order:65,from:Shotgun,to:Staff};{order:66,from:Staff,to:Shotgun};{order:67,from:Shotgun,to:Shotgun};{order:68,from:Shotgun,to:Staff};{order:69,from:Staff,to:Shotgun};{order:70,from:Shotgun,to:Shotgun};{order:71,from:Shotgun,to:Shotgun};{order:72,from:Shotgun,to:Staff};{order:73,from:Staff,to:Shotgun};{order:74,from:Shotgun,to:Staff};{order:75,from:Staff,to:Shotgun};{order:76,from:Shotgun,to:Staff};{order:77,from:Staff,to:Shotgun};{order:78,from:Shotgun,to:Shotgun};{order:79,from:Shotgun,to:Staff};{order:80,from:Staff,to:Shotgun};{order:81,from:Shotgun,to:Shotgun};{order:82,from:Shotgun,to:Staff};{order:83,from:Staff,to:Shotgun};{order:84,from:Shotgun,to:Staff};{order:85,from:Staff,to:Shotgun};{order:86,from:Shotgun,to:Staff};{order:87,from:Staff,to:Shotgun};{order:88,from:Shotgun,to:Shotgun};{order:89,from:Shotgun,to:Staff};{order:90,from:Staff,to:Shotgun};{order:91,from:Shotgun,to:Shotgun};{order:92,from:Shotgun,to:Staff};{order:93,from:Staff,to:Shotgun};{order:94,from:Shotgun,to:Staff};{order:95,from:Staff,to:Shotgun};{order:96,from:Shotgun,to:Staff};{order:97,from:Staff,to:Shotgun};{order:98,from:Shotgun,to:Staff};{order:99,from:Staff,to:Shotgun};{order:100,from:Shotgun,to:Staff};{order:101,from:Staff,to:Shotgun};{order:102,from:Shotgun,to:Shotgun};{order:103,from:Shotgun,to:Staff};{order:104,from:Staff,to:Shotgun};{order:105,from:Shotgun,to:Staff};{order:106,from:Staff,to:Shotgun};{order:107,from:Shotgun,to:Staff};{order:108,from:Staff,to:Shotgun};{order:109,from:Shotgun,to:Staff};{order:110,from:Staff,to:Shotgun};{order:111,from:Shotgun,to:Staff};{order:112,from:Staff,to:Shotgun};{order:113,from:Shotgun,to:Staff};{order:114,from:Staff,to:Shotgun};{order:115,from:Shotgun,to:Staff};{order:116,from:Staff,to:Shotgun};{order:117,from:Shotgun,to:Staff};{order:118,from:Staff,to:Shotgun};{order:119,from:Shotgun,to:Staff};{order:120,from:Staff,to:Shotgun};{order:121,from:Shotgun,to:Shotgun};{order:122,from:Shotgun,to:Staff};{order:123,from:Staff,to:Shotgun};{order:124,from:Shotgun,to:Staff};{order:125,from:Staff,to:Shotgun};{order:126,from:Shotgun,to:Staff};{order:127,from:Staff,to:Shotgun};{order:128,from:Shotgun,to:Staff};{order:129,from:Staff,to:Shotgun};{order:130,from:Shotgun,to:Staff};{order:131,from:Staff,to:Shotgun}",1110.00,250,58,101,34,43,"FallDamageArea-:100;C1PistolMobForDashTutorial-AttackHitbox:300;C1TonpaMobPrefab (4)-AttackHitbox:70;C1TonpaMobPrefab (5)-AttackHitbox:120;C1PistolMob (1)-AttackHitbox:150;C1TonpaMobPrefab (3)-AttackHitbox:50;C1TonpaMobPrefab (9)-AttackHitbox:60;C1TonpaMobPrefab (7)-AttackHitbox:30;FallDamageArea (1)-:30;C1EliteTonpaMob-Rush Attack:80;C1TonpaMobPrefab (10)-AttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1TonpaMobPrefab (6)-AttackHitbox:20;C1TonpaMobPrefab (8)-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",369.15,205,0,2545.00,72.05,35.3235,73,0,1200.00,40.95,29.3035,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff};{order:26,from:Staff,to:Shotgun}",300.00,101,20,26,19,7,"C1GunnerMobPrefab-RangedAttackHitbox:50;C1PistolMob (2)-AttackHitbox:30;C1PistolMob-AttackHitbox:130;FallDamageArea (2)-:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:30;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (13)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;FallDamageArea (3)-:10"
"C1_Stage2_5","",34.37,19,0,190.00,5.02,37.8706,12,0,138.00,6.13,22.5019,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",0.00,7,1,2,2,0,""
"C1_Stage2_6","",298.83,145,0,1940.00,49.70,39.0333,27,0,471.00,16.57,28.4294,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",110.00,51,6,0,8,2,"C1PistolMob-AttackHitbox:50;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_7","",260.68,53,0,1196.00,15.50,77.1613,62,0,204.00,34.16,5.9711,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff}",130.00,33,0,8,9,3,"C1SandMecha-MeleeHitbox:20;C1SandMecha (2)-MeleeHitbox:40;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:10;C1SandMecha (7)-MeleeHitbox:20;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",71.12,18,0,160.00,9.33,17.1417,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",60.00,10,1,5,0,2,"FallDamageArea-:40;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",105.18,39,0,292.00,12.40,23.5477,39,0,333.00,25.58,13.0172,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun}",70.00,28,5,5,5,1,"C1PistolMob (2)-AttackHitbox:50;C1TonpaMobPrefab (4)-AttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage3_3","",94.32,41,0,600.00,14.95,40.1319,23,0,334.50,12.68,26.3727,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",110.00,24,1,0,1,2,"C1PistolMob-AttackHitbox:60;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob (1)-Attack:10;C1EliteTonpaMob (1)-Rush Attack:10"
