SerialNumber,5b9afe0110e1aac181cb4e478789b67f110ed65e
TotalPlayTime,1660.82
TotalDeathCount,10
TotalKilledEnemies,161
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",95.95,38,0,490.00,13.05,37.5478,50,0,570.00,15.12,37.7070,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",60.00,20,11,8,3,1,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",19.33,11,0,150.00,4.18,35.8564,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,5,0,0,""
"C1_Stage2_3","",37.80,61,0,603.00,15.67,38.4895,6,0,64.00,3.52,18.1994,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",0.00,13,8,5,6,0,""
"C1_Stage2_4","",152.97,160,0,2085.00,43.57,47.8576,1,0,0.00,0.13,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",140.00,22,14,18,11,3,"C1GunnerMobPrefab-RangedAttackHitbox:50;C1TonpaMobPrefab (16)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (11)-AttackHitbox:20;C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_5","",28.07,30,0,280.00,7.07,39.6227,5,0,33.00,2.22,14.8872,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,3,2,3,3,0,""
"C1_Stage2_6","",57.00,77,0,870.00,21.52,40.4334,6,0,78.00,3.55,21.9723,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,11,6,1,4,0,"C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",445.26,187,0,1629.00,49.68,32.7876,111,0,838.50,75.12,11.1627,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff}",230.00,58,20,53,15,5,"C1SandMecha-MeleeHitbox:70;C1SandMecha (2)-MeleeHitbox:30;C1SandMecha (5)-MeleeHitbox:30;C1SandMecha (3)-MeleeHitbox:30;C1SandMecha (6)-MeleeHitbox:30;C1SandMecha (4)-MeleeHitbox:20;C1SandMecha (7)-MeleeHitbox:10;C1SandMecha (3)-DashAttackHitbox:10"
"C1_Stage3_1","",40.45,15,0,150.00,4.75,31.5765,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,5,1,7,1,1,"FallDamageArea-:40;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",41.75,30,0,400.00,9.85,40.6097,15,0,66.00,9.43,6.9964,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,12,2,6,3,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;FallDamageArea (1)-:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_3","",32.43,43,0,380.00,11.58,32.8056,10,0,123.00,5.32,23.1343,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,7,4,3,2,0,"C1PistolMob-AttackHitbox:10"
