SerialNumber,cbf38a92fcef5bf4abb247e6a62e26f523097701
TotalPlayTime,3904.31
TotalDeathCount,10
TotalKilledEnemies,251
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",37.21,22,0,260.00,11.33,22.9412,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,2,0,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",88.36,35,0,550.00,11.13,49.4011,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,14,7,0,7,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_3","",2.46,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage2_4","",49.42,37,0,540.00,13.25,40.7547,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,2,0,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_5","",11.56,8,0,150.00,2.25,66.6667,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,2,0,0,""
"C1_Stage2_6","",43.47,54,0,585.00,17.32,33.7825,5,0,33.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,12,4,5,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",70.64,81,0,950.00,25.93,36.6321,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,12,8,7,7,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_8","",27.63,24,0,285.00,8.38,33.9959,5,0,33.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,4,2,2,2,0,""
"C1_Stage2_9","",49.38,55,0,910.00,18.90,48.1475,4,0,33.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,10,4,1,4,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_10","",67.64,12,0,100.00,6.47,15.4642,4,0,6.00,1.47,4.0909,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,5,1,0,0,1,"C1SandMecha-DashAttackHitbox:20;C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",17.56,9,0,170.00,3.57,47.6638,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,2,3,2,0,""
"C1_Stage3_2","",170.01,30,0,450.00,15.28,29.4439,5,0,6.00,3.37,1.7822,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,25,1,15,1,0,"FallDamageArea (1)-:30"
"C1_Stage3_3","",211.16,42,0,450.00,12.05,37.3439,10,0,78.00,3.62,21.5666,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",40.00,10,2,0,4,1,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage3_4","",158.23,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",6.02,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_6","",46.61,54,0,792.00,15.98,49.5514,15,0,138.00,5.70,24.2102,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",0.00,10,3,1,3,0,""
"C1_Stage3_7","",41.18,22,0,277.00,8.28,33.4392,5,0,81.00,0.10,810.1978,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,7,2,2,3,0,""
"C1_Stage3_8","",126.25,106,0,0.00,30.95,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,23,9,0,17,0,"C1MidBoss-KickKick 2:20"
"C1_Boss_1","BaseMoveSpeedBuff",37.84,6,0,100.00,1.88,53.0983,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,0,0,""
"C1_Boss_2","BaseMoveSpeedBuff",117.14,91,0,909.00,31.25,29.0880,20,0,117.00,3.30,35.4514,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",50.00,18,4,2,8,1,"C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob-Attack:10"
"C1_Boss_3","BaseMoveSpeedBuff",40.08,44,0,522.00,12.90,40.4662,18,0,99.00,5.10,19.4114,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,10,1,0,4,0,"C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:10"
"C1_Boss_4","BaseMoveSpeedBuff",87.36,75,0,910.00,19.28,47.1895,5,0,33.00,2.25,14.6667,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,13,3,1,6,0,"C1PistolMob (2)-AttackHitbox:20;C1PistolMob (3)-AttackHitbox:10"
"C1_Boss_5","BaseMoveSpeedBuff",0.47,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_6","BaseMoveSpeedBuff",71.84,34,0,426.00,15.23,27.9658,16,0,75.00,4.13,18.1442,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,7,1,1,2,0,"C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","BaseMoveSpeedBuff",19.19,21,0,342.00,5.30,64.5307,5,0,138.00,2.13,64.6959,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,4,0,1,1,0,""
"C1_Boss_8","BaseMoveSpeedBuff",740.91,252,0,2303.00,95.28,24.1697,128,0,414.00,74.87,5.5298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Shotgun,to:Shotgun};{order:21,from:Staff,to:Staff};{order:22,from:Shotgun,to:Shotgun};{order:23,from:Staff,to:Staff};{order:24,from:Shotgun,to:Shotgun};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Shotgun,to:Shotgun};{order:29,from:Staff,to:Staff};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Staff,to:Staff};{order:32,from:Shotgun,to:Shotgun};{order:33,from:Staff,to:Staff};{order:34,from:Shotgun,to:Shotgun};{order:35,from:Staff,to:Staff};{order:36,from:Shotgun,to:Shotgun};{order:37,from:Staff,to:Staff}",240.00,95,7,16,26,6,"C1Boss-CounterAttackHitbox:20;C1Boss-MeleeAttack3Hitbox:40;C1Boss-FlameThrowerMainHitbox:30;C1Boss-DashAttackHitbox:90;C1Boss-FlameThrowerStartHitbox:10;C1Boss-MeleeAttack1Hitbox:30;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-MeleeAttack2Hitbox :10"
"C2_Stage2_1","BaseMoveSpeedBuff",20.49,27,0,330.00,7.30,45.2037,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,4,0,3,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Stage2_2","BaseMoveSpeedBuff",20.23,19,0,180.00,6.48,27.7632,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,3,1,3,0,""
"C2_Stage2_3","BaseMoveSpeedBuff",125.17,40,0,330.00,13.88,23.7692,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,23,0,130.00,14.48,8.9755,"{order:1,from:Spear,to:Spear}",0.00,24,5,1,8,0,""
"C2_Stage2_4","BaseMoveSpeedBuff",1.96,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C2_Stage2_5","BaseMoveSpeedBuff",24.65,7,0,70.00,2.56,27.3275,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,7,0,50.00,6.43,7.7723,"{order:1,from:Staff,to:Staff}",20.00,9,1,0,2,1,"C2ElecWhipmanPrefabForDashTutorial-LowAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
