SerialNumber,339237257f88ab4ba049af22b6d7380183650e21
TotalPlayTime,2585.55
TotalDeathCount,10
TotalKilledEnemies,218
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",46.85,26,0,250.00,11.78,21.2164,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,2,10,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",104.42,41,0,560.00,11.88,47.1247,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,9,4,0,2,0,"C1PistolMobForDashTutorial-AttackHitbox:50;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",3.26,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage2_4","",67.45,54,0,540.00,14.33,37.6745,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,8,4,5,4,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_5","",12.83,15,0,160.00,4.67,34.2860,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,2,1,0,""
"C1_Stage2_6","",130.14,60,0,925.00,21.47,43.0903,25,0,174.00,18.35,9.4823,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff}",150.00,24,14,16,7,2,"C1PistolMobForDashTutorial-AttackHitbox:80;C1PistolMob (1)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:30"
"C1_Stage2_7","",90.76,69,0,1130.00,22.77,49.6338,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",100.00,18,10,17,4,1,"C1PistolMob-AttackHitbox:60;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (3)-:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_8","",48.78,19,0,231.00,7.20,32.0833,14,0,84.00,12.45,6.7470,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,6,2,5,0,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",87.65,69,0,840.00,21.43,39.1915,13,0,84.00,10.73,7.8260,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,20,6,3,8,0,"C1PistolMob-AttackHitbox:30;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_10","",63.00,7,0,5.00,3.10,1.6129,21,0,102.00,17.42,5.8565,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",50.00,3,1,5,0,0,"C1SandMecha-MeleeHitbox:50"
