SerialNumber,b465374d227ffc812165f44c82f7f842d09de977
TotalPlayTime,811.76
TotalDeathCount,4
TotalKilledEnemies,120
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",132.02,67,0,650.00,29.03,22.3881,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",100.00,27,3,4,0,1,"C1PistolMobForDashTutorial-AttackHitbox:100"
"C1_Stage2_2","",13.70,2,0,0.00,0.75,0.0000,2,0,0.00,1.32,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",0.00,0,0,0,0,0,""
"C1_Stage2_3","",101.50,64,0,660.00,25.70,25.6809,8,0,75.00,5.93,12.6404,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Staff,to:Staff}",80.00,16,0,3,0,1,"C1TonpaMobPrefab (2)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",17.73,11,0,150.00,3.90,38.4619,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,2,0,3,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;FallDamageArea-:10"
"C1_Stage2_5","",70.02,91,0,518.00,35.13,14.7438,6,0,93.00,2.57,36.2340,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",60.00,21,0,8,1,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;FallDamageArea (1)-:10;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_6","",128.26,140,0,1790.00,48.47,36.9326,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",140.00,28,1,27,2,1,"C1PistolMob-AttackHitbox:70;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_7","",74.23,119,0,321.00,40.72,7.8838,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,26,2,5,3,0,"C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob-Attack:30;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",83.47,111,0,918.00,39.63,23.1623,5,0,33.00,3.35,9.8506,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",60.00,20,0,6,0,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_9","",40.20,17,0,100.00,7.62,13.1291,6,0,6.00,1.73,3.4615,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,3,0,0,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",51.95,17,0,150.00,7.72,19.4389,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,7,0,6,0,0,"FallDamageArea-:50;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",20.73,8,0,150.00,3.35,44.7756,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,3,0,1,0,1,"C1PistolMob (2)-AttackHitbox:30;FallDamageArea (1)-:20"
