SerialNumber,6349ef76c5a8fd0b4768636dee12a5bf21ee98d0
TotalPlayTime,1420.22
TotalDeathCount,2
TotalKilledEnemies,106
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",32.03,23,0,260.00,9.35,27.8074,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,0,3,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",194.82,84,0,1040.00,30.12,34.5326,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",140.00,15,6,16,1,1,"C1PistolMobForDashTutorial-AttackHitbox:120;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",9.04,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",85.37,51,0,550.00,16.15,34.0559,1,0,15.00,0.80,18.7489,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",40.00,7,5,0,3,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_5","",15.05,12,0,150.00,3.67,40.9096,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,0,0,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_6","",65.62,67,0,463.00,20.83,22.2242,4,0,60.00,2.05,29.2676,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",70.00,12,5,9,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;FallDamageArea (1)-:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",86.03,47,0,580.00,14.25,40.7011,21,0,435.00,15.73,27.6482,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff}",70.00,17,7,12,3,0,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_8","",70.72,22,0,164.00,6.98,23.4843,26,0,174.00,23.10,7.5326,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",60.00,10,2,5,2,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_9","",105.62,73,0,704.00,27.40,25.6936,26,0,246.00,16.68,14.7454,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",90.00,27,7,3,6,0,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab (3)-RangedAttackHitbox:20;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_10","",39.68,1,0,0.00,0.47,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,0,0,0,0,1,"C1SandMecha-MeleeHitbox:30;C1SandMecha-DashAttackHitbox:10"
