SerialNumber,6349ef76c5a8fd0b4768636dee12a5bf21ee98d0
TotalPlayTime,1885.33
TotalDeathCount,1
TotalKilledEnemies,152
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",33.13,20,0,250.00,9.07,27.5736,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,11,0,1,3,0,""
"C1_Stage2_2","",94.01,35,0,550.00,10.17,54.0983,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,8,7,1,6,0,"C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_3","",7.09,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",57.33,39,0,530.00,12.57,42.1751,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",10.00,10,6,1,4,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_5","",32.97,1,0,10.00,0.35,28.5684,12,0,165.00,10.65,15.4929,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",20.00,7,0,0,0,0,"FallDamageArea-:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_6","",88.85,41,0,492.00,17.78,27.6661,16,0,273.00,13.20,20.6818,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",110.00,27,10,5,6,1,"C1PistolMobForDashTutorial-AttackHitbox:60;C1TonpaMobPrefab (4)-AttackHitbox:10;FallDamageArea-:30;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",63.87,82,0,930.00,27.88,33.3534,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,25,6,11,9,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_8","",36.92,24,0,293.00,10.35,28.3091,3,0,18.00,1.15,15.6518,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,11,1,10,2,0,"FallDamageArea (4)-:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",64.07,51,0,921.00,21.08,43.6840,8,0,21.00,3.52,5.9715,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,15,2,0,4,0,"C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_10","",49.59,11,0,100.00,6.08,16.4383,12,0,10.50,8.18,1.2831,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",20.00,8,0,5,0,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
