SerialNumber,6349ef76c5a8fd0b4768636dee12a5bf21ee98d0
TotalPlayTime,1232.65
TotalDeathCount,0
TotalKilledEnemies,92
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",35.08,21,0,270.00,8.37,32.2708,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,8,0,3,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",113.99,45,0,550.00,13.55,40.5917,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,11,7,2,2,0,"C1PistolMobForDashTutorial-AttackHitbox:50"
"C1_Stage2_3","",4.21,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",52.10,46,0,530.00,13.38,39.6023,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",10.00,10,5,0,5,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_5","",7.77,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,5,0,0,""
"C1_Stage2_6","",42.97,41,0,366.00,14.05,26.0506,9,0,81.00,3.43,23.5938,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",20.00,8,4,8,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_7","",60.83,74,0,740.00,20.27,36.5146,6,0,195.00,3.70,52.6965,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",40.00,17,5,9,5,0,"C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_8","",36.92,23,0,265.00,7.60,34.8680,3,0,48.00,1.53,31.3020,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,4,3,3,0,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_9","",71.15,65,0,809.00,22.73,35.5883,9,0,126.00,5.63,22.3660,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",40.00,11,1,8,1,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_10","",42.03,5,0,50.00,3.88,12.8756,9,0,51.00,2.63,19.3673,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",0.00,1,0,6,0,0,""
