SerialNumber,e1d537ccd0f12fa76df4db73a8904a921776f095
TotalPlayTime,2970.02
TotalDeathCount,4
TotalKilledEnemies,306
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",38.40,38,0,607.80,14.48,41.9654,6,2,147.40,2.25,65.5109,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,13,5,7,5,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1TonpaMobPrefab (9)-AttackHitbox:10"
"C1_Stage2_2","",66.15,73,0,1232.00,26.92,45.7709,10,3,314.00,2.78,112.8150,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,20,9,10,8,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_3","",28.58,25,0,373.00,8.25,45.2121,3,1,48.00,1.53,31.3042,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,7,2,9,3,0,""
"C1_Stage2_4","",50.47,55,0,1028.40,17.48,58.8219,3,1,93.00,1.15,80.8700,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,10,4,5,6,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_5","",184.47,17,0,220.00,7.32,30.0685,30,2,241.00,15.57,15.4818,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",80.00,7,4,7,3,1,"C1SandMecha-MeleeHitbox:30;C1SandMecha (3)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:20;C1SandMecha-DashAttackHitbox:10"
"C1_Stage3_1","",22.52,14,0,189.00,6.17,30.6490,5,1,143.00,1.75,81.7143,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,5,2,5,2,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",36.97,37,0,605.00,12.85,47.0817,10,2,177.50,4.00,44.3747,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",40.00,8,2,7,3,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Stage3_3","",36.82,24,0,399.40,9.02,44.2955,19,3,495.50,9.57,51.7948,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",40.00,10,3,1,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",62.29,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,1,0,0,""
"C1_Stage3_5","",7.13,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,1,0,0,""
"C1_Stage3_6","",75.03,53,0,809.70,20.87,38.8036,32,5,719.50,18.05,39.8614,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",70.00,15,6,4,5,0,"C1SandMecha-MeleeHitbox:30;C1PistolMob (5)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10"
"C1_Stage3_7","",50.77,10,0,57.40,4.12,13.9432,12,4,522.00,8.85,58.9824,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",10.00,8,5,5,5,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_8","",205.45,187,0,0.00,65.72,0.0000,2,0,0.00,1.07,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Staff,to:Staff}",140.00,53,26,0,29,1,"C1MidBoss-Taaang:10;C1MidBoss-KickKick 2:50;C1MidBoss-TangTang 2:70;C1MidBoss-KickKick 1:10"
"C1_Boss_1","MaxHPBuff1",35.48,6,0,108.00,1.92,56.3454,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,9,1,0,""
