SerialNumber,e1d537ccd0f12fa76df4db73a8904a921776f095
TotalPlayTime,2742.20
TotalDeathCount,2
TotalKilledEnemies,325
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",14.17,11,0,300.00,3.17,94.7381,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,8,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",78.45,26,0,407.00,8.50,47.8825,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,4,20,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_3","",1.61,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage2_4","",54.67,40,0,673.20,17.45,38.5787,9,3,329.00,2.80,117.4979,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,13,3,11,4,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_5","",15.13,10,0,114.00,4.62,24.6930,3,1,238.00,0.72,332.1034,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,3,1,5,1,0,"FallDamageArea-:10"
"C1_Stage2_6","",41.12,39,0,661.00,14.62,45.2224,7,2,211.00,2.27,93.0884,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,10,5,13,6,0,"FallDamageArea (1)-:10"
"C1_Stage2_7","",57.18,59,0,1089.00,22.25,48.9440,11,3,429.00,2.98,143.7957,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,16,5,15,7,0,"C1EliteTonpaMob (3)-Rush Attack:10"
"C1_Stage2_8","",28.38,27,0,404.00,9.65,41.8652,3,1,33.00,0.77,43.0437,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,7,1,8,2,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",50.00,50,0,1072.00,17.23,62.2046,3,1,123.00,0.73,167.7263,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,13,4,9,6,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_10","",33.79,9,0,170.00,3.32,51.2556,6,1,36.00,1.85,19.4597,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,1,1,1,1,0,"C1SandMecha-MeleeHitbox:20"
