SerialNumber,f5d71cfa2cc6b195cd261042c6ea6a838174830c
TotalPlayTime,1895.31
TotalDeathCount,4
TotalKilledEnemies,122
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",49.80,28,0,280.00,13.48,20.7662,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,10,2,0,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_2","",150.11,45,0,739.00,17.67,41.8304,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,16,9,6,2,1,"C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_3","",8.35,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",0.00,0,0,1,0,0,""
"C1_Stage2_4","",126.00,23,0,224.40,7.65,29.3335,41,6,853.50,47.02,18.1531,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun}",110.00,19,9,7,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob (1)-Attack:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_5","",47.03,0,0,0.00,0.00,NaN,19,2,397.00,18.83,21.0796,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,8,1,5,1,0,"FallDamageArea-:20;C1EliteTonpaMob (1)-Attack:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage2_6","",98.63,19,0,253.00,6.27,40.3724,45,3,696.00,38.22,18.2120,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun}",80.00,14,9,14,4,1,"C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",219.70,15,0,259.40,5.02,51.7096,93,8,1948.50,91.68,21.2524,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun}",210.00,56,15,29,15,1,"C1EliteTonpaMob (3)-Rush Attack:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob (3)-Attack:10;C1PistolMob (2)-AttackHitbox:40;FallDamageArea (3)-:20;C1EliteTonpaMob (4)-Rush Attack:20;C1TonpaMobPrefab (12)-AttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_8","",79.43,0,0,0.00,0.00,NaN,24,2,454.00,30.28,14.9915,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,25,3,5,2,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:10;C1PistolMob-AttackHitbox:40"
"C1_Stage2_9","",98.07,0,0,0.00,0.00,NaN,52,2,1207.00,53.77,22.4489,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,25,3,1,7,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_10","",105.54,0,0,0.00,0.00,NaN,43,8,1839.50,48.05,38.2832,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,15,2,0,5,0,"C1SandMecha-MeleeHitbox:30;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (6)-DashAttackHitbox:10;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:20"
