SerialNumber,f62feb305a3e6d856ea4f4c2d931d1a57596e3b0
TotalPlayTime,3011.33
TotalDeathCount,3
TotalKilledEnemies,250
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",32.93,28,0,302.00,10.18,29.6563,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,3,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",101.90,31,0,407.00,11.28,36.0709,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,11,8,1,3,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_3","",8.05,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,0,0,1,0,0,""
"C1_Stage2_4","",102.50,36,0,442.40,11.58,38.1929,36,6,625.50,36.28,17.2392,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",40.00,12,5,0,5,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob (1)-Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_5","",34.78,10,0,175.00,3.50,50.0000,11,2,182.50,10.45,17.4641,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,6,2,3,2,0,"FallDamageArea-:10;C1EliteTonpaMob (1)-Attack:10"
"C1_Stage2_6","",83.30,33,0,391.70,11.08,35.3414,31,4,506.00,31.67,15.9789,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",80.00,14,3,6,2,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:20;C1EliteTonpaMob (2)-Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",119.77,83,0,860.30,29.98,28.6926,42,6,621.50,33.72,18.4331,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff}",100.00,32,0,8,4,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob (3)-Attack:10;C1EliteTonpaMob (3)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (21)-AttackHitbox:10;C1EliteTonpaMob (4)-Rush Attack:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1EliteTonpaMob-Attack:20"
"C1_Stage2_8","",47.02,20,0,261.00,6.82,38.2886,8,2,196.00,9.45,20.7406,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,9,0,2,2,0,"C1PistolMob-AttackHitbox:30"
"C1_Stage2_9","",95.78,73,0,1053.30,24.67,42.7016,15,1,104.00,13.78,7.5453,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",80.00,24,0,0,3,0,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage2_10","",85.93,21,0,196.80,8.55,23.0177,16,1,95.00,13.07,7.2705,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",60.00,12,1,2,3,1,"C1SandMecha-MeleeHitbox:60"
"C1_Stage3_1","",49.08,24,1,316.00,10.43,30.2868,3,0,3.00,1.25,2.4005,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,9,1,6,1,0,"FallDamageArea-:10;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
