SerialNumber,c1ae2f5a5c0972e76b76eab1bc4fa84975ff42db
TotalPlayTime,1502.77
TotalDeathCount,0
TotalKilledEnemies,144
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",21.52,17,0,300.00,5.32,56.4262,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,1,4,0,""
"C1_Stage2_2","",103.15,25,0,406.00,8.40,48.3330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,8,7,10,4,0,"C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_3","",4.62,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage2_4","",83.41,61,3,892.60,20.50,43.5412,12,1,123.50,5.83,21.1713,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",10.00,14,8,2,9,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_5","",19.68,21,0,298.70,6.93,43.0820,2,1,33.00,1.33,24.7492,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,3,3,3,2,0,""
"C1_Stage2_6","",53.38,43,0,646.00,17.35,37.2331,12,3,194.00,8.32,23.3265,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,10,8,5,6,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_7","",70.36,75,0,1183.00,25.53,46.3317,6,3,309.00,3.33,92.7006,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,18,10,9,8,0,"C1TonpaMobPrefab (18)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_8","",33.23,22,0,397.00,7.67,51.7825,2,1,33.00,1.25,26.4000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,6,5,4,3,0,""
"C1_Stage2_9","",47.99,49,0,1111.40,15.88,69.9726,2,1,33.00,1.00,33.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,12,7,0,7,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_10","",36.62,13,0,171.40,4.97,34.5100,4,1,36.00,2.38,15.1047,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,3,0,2,1,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",30.04,12,0,290.00,6.55,44.2741,2,1,33.00,0.77,43.0437,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,7,1,9,2,0,"FallDamageArea-:10"
"C1_Stage3_2","",59.29,41,0,608.00,17.73,34.2859,9,3,229.00,5.83,39.2573,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",40.00,15,4,3,4,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage3_3","",30.96,28,0,548.00,9.85,55.6333,6,3,334.00,3.47,96.3459,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",40.00,7,2,0,4,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_4","",74.77,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",7.11,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_6","",85.81,69,1,1023.40,24.97,40.9914,17,4,490.50,14.02,34.9942,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",50.00,20,8,7,6,0,"C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Rush Attack:30;C1PistolMob (5)-AttackHitbox:10"
"C1_Stage3_7","",56.74,16,0,194.80,6.83,28.5072,7,3,392.00,5.38,72.8178,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,5,2,6,2,0,"C1EliteTonpaMob-Attack:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_8","",130.44,96,0,0.00,30.62,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,21,14,2,9,0,"C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 1:20;C1MidBoss-KickKick 2:20"
