SerialNumber,c8bf82ffaeaf2eefb6e92c57b5fe562532acd72c
TotalPlayTime,2003.27
TotalDeathCount,1
TotalKilledEnemies,158
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",24.64,18,0,284.00,4.78,59.3729,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,2,2,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",116.56,32,0,390.00,10.02,38.9347,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,5,0,6,1,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_3","",18.36,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",113.21,34,0,373.70,12.43,30.0560,34,6,686.50,36.62,18.7483,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",40.00,25,0,3,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_5","",31.70,13,0,182.00,4.93,36.8918,11,2,199.00,12.93,15.3866,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,9,0,3,1,0,""
"C1_Stage2_6","",87.00,39,0,542.60,14.83,36.5800,28,4,336.00,25.90,12.9729,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun}",80.00,18,0,10,2,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_7","",191.86,123,0,2213.40,42.88,51.6144,36,6,505.00,28.85,17.5043,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff}",130.00,39,0,27,5,1,"C1PistolMob (2)-AttackHitbox:20;C1EliteTonpaMob (4)-Rush Attack:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (18)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1PistolMob-AttackHitbox:20;C1EliteTonpaMob (3)-Rush Attack:10;C1EliteTonpaMob (3)-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_8","",37.43,27,0,345.00,9.97,34.6154,4,1,86.00,1.98,43.3626,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,9,0,2,1,0,"C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",56.03,57,0,1040.70,20.93,49.7141,3,1,48.00,1.10,43.6373,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",60.00,20,0,0,3,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_10","",42.78,8,0,170.00,3.60,47.2209,8,1,39.00,7.27,5.3669,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,5,0,2,1,0,""
