SerialNumber,ad85fae656dad028ebe129b5654d2af8914e1c9b
TotalPlayTime,3623.80
TotalDeathCount,1
TotalKilledEnemies,333
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",19.33,17,0,269.00,5.62,47.8934,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,3,0,1,0,""
"C1_Stage2_2","",92.08,29,0,394.00,8.85,44.5196,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,4,2,4,0,""
"C1_Stage2_3","",2.22,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage2_4","",70.92,37,0,432.90,13.08,33.0878,22,3,552.00,10.55,52.3217,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun}",10.00,11,7,0,7,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_5","",20.60,8,0,127.00,4.03,31.4881,10,1,204.50,4.45,45.9543,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",20.00,6,2,2,2,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_6","",40.37,43,0,735.00,16.60,44.2770,8,2,206.00,4.17,49.4405,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",20.00,12,6,5,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10"
"C1_Stage2_7","",67.45,73,0,1043.50,26.82,38.9122,15,4,517.00,7.88,65.5807,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff}",10.00,18,8,7,9,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_8","",29.00,27,0,339.00,9.35,36.2565,2,1,83.00,1.08,76.6168,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,7,3,3,3,0,""
"C1_Stage2_9","",52.02,65,0,1064.70,20.83,51.1057,5,1,48.00,1.53,31.3058,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,11,7,0,6,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_10","",35.87,11,0,100.00,3.90,25.6409,11,1,105.50,7.95,13.2704,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,2,0,0,1,0,"C1SandMecha-MeleeHitbox:20"
