SerialNumber,ef2a0854574883984b0fbe07eca55fcc9b668436
TotalPlayTime,2905.11
TotalDeathCount,4
TotalKilledEnemies,239
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",27.46,18,0,291.00,9.78,29.7443,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,10,0,0,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",96.81,31,0,389.00,14.30,27.2027,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,15,3,1,2,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMobForDashTutorial (1)-AttackHitbox:10"
"C1_Stage2_3","",3.83,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",80.36,48,3,821.50,18.80,43.6971,20,1,183.50,9.42,19.4868,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff}",50.00,10,3,0,4,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_5","",18.81,19,1,339.30,7.02,48.3563,4,0,18.00,1.78,10.0932,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,1,1,1,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage2_6","",74.37,61,2,983.20,24.48,40.1577,19,0,145.50,8.13,17.8893,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",110.00,23,5,8,3,1,"C1PistolMobForDashTutorial-AttackHitbox:40;C1PistolMob (1)-AttackHitbox:40;C1EliteTonpaMob (2)-Rush Attack:10;C1EliteTonpaMob (2)-Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",172.93,70,3,1459.20,34.30,42.5425,10,0,28.30,2.98,9.4862,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",40.00,30,2,7,4,0,"C1PistolMob (2)-AttackHitbox:20;FallDamageArea (3)-:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_8","",33.39,25,1,388.00,10.23,37.9153,5,0,48.00,2.53,18.9474,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,9,0,4,2,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",74.44,77,0,1081.70,24.97,43.3257,12,0,12.00,7.78,1.5418,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",60.00,13,0,1,2,0,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_10","",48.99,11,1,182.70,5.23,34.9112,17,0,24.00,13.98,1.7163,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,12,0,1,3,0,"C1SandMecha-MeleeHitbox:30"
