SerialNumber,ef2a0854574883984b0fbe07eca55fcc9b668436
TotalPlayTime,3116.43
TotalDeathCount,4
TotalKilledEnemies,132
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",15.97,14,0,282.00,7.90,35.6964,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,12,0,0,2,0,""
"C1_Stage2_2","",92.11,23,0,410.00,14.92,27.4861,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,22,6,2,0,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMobForDashTutorial (1)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_3","",8.71,4,0,0.00,1.67,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_1","",148.18,97,0,0.00,38.93,0.0000,1,0,0.00,0.38,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",100.00,38,6,5,8,0,"C1MidBoss-TangTang 1:40;C1MidBoss-RushKick:20;C1MidBoss-KickKick 2:30;C1MidBoss-Taaang:10"
"C1_Boss_1","ReduceDashCooltime",2.64,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_2","ReduceDashCooltime",304.38,84,7,1400.70,39.23,35.7018,16,0,117.00,4.98,23.4788,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",70.00,20,0,11,4,0,"C1Boss-CounterAttackHitbox:40;C1Boss-FlameThrowerStartHitbox:10;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):10"
"C2_Stage2_1","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",32.93,22,0,275.00,10.32,26.6556,6,0,60.00,1.70,35.2951,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",10.00,10,2,0,2,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C2_Stage2_2","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",15.22,12,0,179.00,5.72,31.3119,2,0,15.00,0.85,17.6450,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,7,3,0,1,0,""
"C2_Stage2_3","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",205.39,40,0,375.00,20.98,17.8715,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,39,0,180.00,25.73,6.9948,"{order:1,from:Spear,to:Spear}",20.00,51,7,1,14,0,"C2GunnerMobPrefab (5)-RangedAttackHitbox:10;C2GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C2_Stage2_4","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",2.76,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
