SerialNumber,abfbef7a1caeedb8001a84e33e7cda34f20d041f
TotalPlayTime,2470.90
TotalDeathCount,3
TotalKilledEnemies,241
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",17.28,19,0,278.00,6.60,42.1210,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,0,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",108.53,33,0,394.00,11.03,35.7096,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,7,4,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",5.87,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,2,0,0,""
"C1_Stage2_4","",91.24,49,0,417.10,15.72,26.5387,20,4,626.50,17.83,35.1308,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,13,6,1,5,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_5","",27.23,20,0,190.40,5.17,36.8515,15,1,147.50,13.38,11.0211,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,6,4,2,2,0,""
"C1_Stage2_6","",73.71,60,0,542.10,21.30,25.4506,25,4,313.00,20.52,15.2559,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,17,7,5,4,0,"C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_7","",149.02,127,0,1432.50,41.42,34.5874,54,4,612.00,39.05,15.6722,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun}",110.00,33,16,11,14,1,"C1EliteTonpaMob (3)-Rush Attack:20;C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (16)-AttackHitbox:10;C1EliteTonpaMob (4)-Rush Attack:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_8","",36.11,22,0,260.00,9.72,26.7575,10,1,174.50,4.10,42.5600,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",10.00,7,3,2,2,0,"C1EliteTonpaMob-Attack:10"
"C1_Stage2_9","",60.59,62,0,989.00,19.98,49.4914,10,1,132.50,5.92,22.3941,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,14,10,0,8,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_10","",39.90,14,0,126.70,6.05,20.9428,12,1,92.00,7.83,11.7446,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,4,1,1,0,0,"C1SandMecha-MeleeHitbox:40"
"C1_Stage3_1","",43.88,17,0,210.40,11.08,18.9836,12,1,119.00,5.48,21.7014,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,9,1,7,2,0,"FallDamageArea-:20"
"C1_Stage3_2","",64.11,38,0,412.80,13.03,31.6727,23,3,433.50,16.45,26.3523,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",70.00,12,3,4,2,0,"C1EliteTonpaMob (2)-Rush Attack:20;C1PistolMob (2)-AttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_3","",56.39,26,0,244.20,8.95,27.2843,27,4,714.00,22.98,31.0657,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",10.00,18,5,1,4,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",81.06,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",8.99,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage3_6","",113.61,93,0,903.70,34.67,26.0680,40,5,634.50,32.23,19.6846,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun}",60.00,32,10,0,6,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha-DashAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1PistolMob (5)-AttackHitbox:10"
"C1_Stage3_7","",60.57,36,0,343.60,11.70,29.3673,9,2,217.00,5.80,37.4143,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",20.00,8,6,1,3,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_8","",152.82,100,0,0.00,31.38,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,24,11,0,12,0,"C1MidBoss-KickKick 1:20;C1MidBoss-KickKick 2:20;C1MidBoss-RushKick:20"
"C1_Boss_1","ShieldOnDamage",43.22,12,0,114.00,4.62,24.6923,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,1,0,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","ShieldOnDamage",82.14,55,0,493.90,20.07,24.6130,30,5,1091.00,23.57,46.2940,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",50.00,21,7,0,5,0,"C1EliteTonpaMob-Rush Attack:30;C1SandMecha (1)-MeleeHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Boss_3","ShieldOnDamage",91.99,45,0,514.40,15.85,32.4543,36,4,588.00,29.43,19.9772,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",90.00,14,3,0,3,1,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
