SerialNumber,5b9afe0110e1aac181cb4e478789b67f110ed65e
TotalPlayTime,2166.24
TotalDeathCount,7
TotalKilledEnemies,43
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",14.20,14,0,294.00,3.72,79.1030,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,11,1,0,""
"C1_Stage2_2","",89.52,25,0,422.00,7.80,54.1027,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,4,14,5,0,""
"C1_Stage2_3","",3.41,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_1","",127.52,84,0,0.00,26.00,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,17,6,0,12,0,"C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 1:10"
"C1_Boss_1","ShieldOnDamage",1.97,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_2","ShieldOnDamage",462.17,169,1,1316.00,67.02,19.6370,137,12,1720.50,69.35,24.8089,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Shotgun,to:Shotgun};{order:25,from:Staff,to:Staff};{order:26,from:Shotgun,to:Shotgun};{order:27,from:Staff,to:Staff};{order:28,from:Shotgun,to:Shotgun};{order:29,from:Staff,to:Staff};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Staff,to:Staff};{order:32,from:Shotgun,to:Shotgun};{order:33,from:Staff,to:Staff};{order:34,from:Shotgun,to:Shotgun};{order:35,from:Staff,to:Staff};{order:36,from:Shotgun,to:Shotgun};{order:37,from:Staff,to:Staff};{order:38,from:Shotgun,to:Shotgun};{order:39,from:Staff,to:Staff};{order:40,from:Shotgun,to:Shotgun};{order:41,from:Staff,to:Staff};{order:42,from:Shotgun,to:Shotgun};{order:43,from:Staff,to:Staff};{order:44,from:Shotgun,to:Shotgun};{order:45,from:Staff,to:Staff};{order:46,from:Shotgun,to:Shotgun};{order:47,from:Staff,to:Staff};{order:48,from:Shotgun,to:Shotgun};{order:49,from:Staff,to:Staff};{order:50,from:Shotgun,to:Shotgun};{order:51,from:Staff,to:Staff};{order:52,from:Shotgun,to:Shotgun};{order:53,from:Staff,to:Staff}",110.00,80,17,1,39,2,"C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-MeleeAttack3Hitbox:10;C1Boss-CounterAttackHitbox:10;C1Boss-DashAttackHitbox:20;C1Boss-FlameThrowerStartHitbox:10;C1Boss-FlameThrowerMainHitbox:20;C1Boss-DestroyBoxHitbox:10;C1TonpaMobPrefab(Clone)-AttackHitbox:10"
"C2_Stage2_1","StrongerFeverTime",14.47,23,0,333.00,5.77,57.7451,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,3,0,3,0,""
"C2_Stage2_2","StrongerFeverTime",10.83,13,0,160.00,3.05,52.4603,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,1,0,1,0,""
"C2_Stage2_3","StrongerFeverTime",120.28,30,0,264.00,9.93,26.5771,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,22,0,165.00,11.73,14.0627,"{order:1,from:Spear,to:Spear}",20.00,13,2,4,6,0,"C2GunnerMobPrefab (5)-RangedAttackHitbox:10;C2TonpaManPrefab (10)-MeleeAttackHitbox:10"
"C2_Stage2_4","StrongerFeverTime",2.57,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
