SerialNumber,eb96d5b680eb2f85fe5a091bb9d8642e6c354a0d
TotalPlayTime,2935.70
TotalDeathCount,10
TotalKilledEnemies,253
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",21.77,17,0,273.00,6.35,42.9923,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,2,1,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",107.26,28,0,382.00,11.57,33.0262,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,13,9,1,2,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_3","",2.84,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,1,0,0,""
"C1_Stage2_4","",148.61,89,3,1342.90,34.87,38.5151,41,4,631.50,22.33,28.2762,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff}",80.00,28,14,0,14,1,"C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob (1)-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:50"
"C1_Stage2_5","",16.12,14,0,236.70,5.92,40.0059,6,1,98.00,2.12,46.2998,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,5,2,2,1,0,""
"C1_Stage2_6","",70.35,32,1,502.50,16.25,30.9230,22,1,344.00,12.87,26.7354,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",60.00,14,2,5,4,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:20"
"C1_Stage2_7","",77.87,55,0,1004.80,21.50,46.7352,15,3,459.00,10.42,44.0637,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",60.00,25,5,8,8,0,"C1EliteTonpaMob (3)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:10;C1EliteTonpaMob (4)-Rush Attack:10;C1EliteTonpaMob-Rush Attack:20;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",34.25,16,0,221.00,6.62,33.4003,8,1,203.00,4.13,49.1126,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",0.00,8,2,3,4,0,""
"C1_Stage2_9","",52.63,55,1,1052.00,18.02,58.3902,5,0,48.00,2.53,18.9474,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",20.00,14,5,0,6,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_10","",162.96,16,0,220.00,13.17,16.7087,43,2,215.50,35.03,6.1513,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun}",220.00,30,11,1,4,4,"C1SandMecha-MeleeHitbox:160;C1SandMecha-DashAttackHitbox:10;C1SandMecha (5)-LandingImpactHitbox:50"
