SerialNumber,41d8f5d9c7ba471852df815fe765d2e684c6e76f
TotalPlayTime,4227.29
TotalDeathCount,5
TotalKilledEnemies,326
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",24.48,17,0,294.00,6.67,44.0999,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,0,1,0,""
"C1_Stage2_2","",109.74,33,0,394.00,10.03,39.2689,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,7,0,4,1,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1PistolMobForDashTutorial (1)-AttackHitbox:20"
"C1_Stage2_3","",11.24,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",84.86,42,0,587.60,13.23,44.4030,12,3,408.50,9.58,42.6259,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",40.00,12,0,0,3,0,"C1EliteTonpaMob (1)-Rush Attack:20;C1EliteTonpaMob-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_5","",18.89,17,0,254.00,6.92,36.7234,6,1,86.00,2.30,37.3915,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,5,0,2,0,0,"C1EliteTonpaMob (1)-Rush Attack:20"
"C1_Stage2_6","",62.78,43,0,630.40,14.87,42.4030,11,2,229.00,4.77,48.0420,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",70.00,7,3,7,2,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (2)-Attack:10;C1EliteTonpaMob (2)-Rush Attack:10;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_7","",76.73,71,0,1162.60,22.63,51.3668,15,4,345.00,8.03,42.9458,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",60.00,11,7,8,6,0,"C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (3)-:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_8","",49.38,21,0,327.00,7.30,44.7950,5,1,113.00,1.08,104.3038,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,2,2,4,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",47.28,61,0,1060.70,17.13,61.9087,6,1,98.00,1.82,53.9436,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,9,7,0,8,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_10","",87.20,21,0,236.70,7.68,30.8066,21,2,179.50,13.92,12.8982,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",140.00,6,5,5,4,2,"C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-LandingImpactHitbox:50;C1SandMecha-LandingImpactHitbox:50;C1SandMecha-DashAttackHitbox:10"
"C1_Stage3_1","",29.08,14,0,224.60,5.82,38.6133,4,1,84.50,1.40,60.3561,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,4,2,2,1,0,"C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",63.44,31,0,535.00,10.50,50.9524,12,3,282.00,7.48,37.6834,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",60.00,7,4,4,3,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:30;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Stage3_3","",35.23,38,0,520.70,13.97,37.2809,6,3,357.00,2.52,141.8511,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,6,5,0,4,0,"C1GunnerMobPrefab (1)-Hitboxes:10"
"C1_Stage3_4","",84.38,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",8.97,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,2,0,0,""
"C1_Stage3_6","",80.38,61,0,851.70,23.98,35.5121,24,5,665.00,14.18,46.8856,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",70.00,12,6,2,3,0,"C1SandMecha-MeleeHitbox:20;C1PistolMob (5)-AttackHitbox:20;C1EliteTonpaMob (3)-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_7","",66.86,13,0,226.20,4.37,51.7997,5,2,332.00,4.22,78.7350,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,2,1,11,1,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_8","",213.01,89,0,0.00,37.87,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",160.00,37,6,5,5,0,"C1MidBoss-TangTang 1:90;C1MidBoss-KickKick 2:30;C1MidBoss-KickKick 1:10;C1MidBoss-RushKick:20;C1MidBoss-TangTang 2:10"
"C1_Boss_1","ReduceDashCooltime",44.24,8,0,111.00,2.92,38.0609,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,1,3,1,0,""
"C1_Boss_2","ReduceDashCooltime",87.76,71,0,756.40,22.92,33.0064,18,5,735.00,15.98,45.9859,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,18,4,0,7,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):20;C1EliteTonpaMob-Rush Attack:10"
"C1_Boss_3","ReduceDashCooltime",60.73,56,0,735.10,21.48,34.2167,14,3,286.50,5.18,55.2757,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",40.00,11,1,2,3,0,"C1EliteTonpaMob (2)-Rush Attack:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:20"
"C1_Boss_4","ReduceDashCooltime",98.39,63,0,1006.40,17.87,56.3283,5,1,156.50,2.22,70.6012,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,10,9,1,8,0,"C1PistolMob (2)-AttackHitbox:10;C1PistolMob (3)-AttackHitbox:10"
"C1_Boss_5","ReduceDashCooltime",0.87,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_6","ReduceDashCooltime",64.04,27,0,485.80,10.77,45.1190,9,3,357.50,4.38,81.5550,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,5,2,1,2,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Boss_7","ReduceDashCooltime",22.46,24,0,430.50,6.82,63.1564,2,2,353.00,3.33,105.9026,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,5,2,1,1,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Boss_8","ReduceDashCooltime",467.73,99,1,1111.00,39.03,28.4630,84,7,637.50,55.12,11.5664,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Staff,to:Staff};{order:29,from:Shotgun,to:Shotgun}",250.00,63,1,5,19,1,"C1Boss-DashAttackHitbox:100;C1Boss-MeleeAttack2Hitbox :50;C1Boss-CounterAttackHitbox:50;C1Boss-MeleeAttack3Hitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-FlameThrowerMainHitbox:20;C1Boss-MeleeAttack1Hitbox:10"
"C2_Stage2_1","ReduceDashCooltime,MaxHPBuff1",17.98,22,0,335.00,5.92,56.6213,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,2,0,2,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Stage2_2","ReduceDashCooltime,MaxHPBuff1",13.06,15,0,174.00,4.12,42.2669,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,2,0,1,0,""
"C2_Stage2_3","ReduceDashCooltime,MaxHPBuff1",146.83,29,0,274.00,9.08,30.1670,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,22,0,157.50,17.85,8.8237,"{order:1,from:Spear,to:Spear}",10.00,18,4,0,8,0,"C2GunnerMobPrefab (5)-RangedAttackHitbox:10"
"C2_Stage2_4","ReduceDashCooltime,MaxHPBuff1",1.97,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C2_Stage2_5","ReduceDashCooltime,MaxHPBuff1",47.99,24,0,267.00,8.97,29.7781,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,14,2,227.50,11.32,20.1027,"{order:1,from:Staff,to:Staff};{order:2,from:Spear,to:Spear};{order:3,from:Staff,to:Staff};{order:4,from:Spear,to:Spear};{order:5,from:Staff,to:Staff}",30.00,15,0,4,2,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (3)-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Stage2_6","ReduceDashCooltime,MaxHPBuff1",42.33,39,0,564.00,12.22,46.1660,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,9,2,220.00,6.25,35.1986,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff}",30.00,14,1,0,4,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ElecWhipmanPrefab-LowAttackHitBox:20"
"C2_Stage2_7","ReduceDashCooltime,MaxHPBuff1",65.84,29,0,390.00,10.07,38.7408,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,24,2,385.00,19.48,19.7607,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff};{order:7,from:Spear,to:Spear};{order:8,from:Staff,to:Staff}",60.00,26,1,6,2,0,"C2ElecWhipmanPrefab (1)-LowAttackHitBox:30;C2GunnerMobPrefab-RangedAttackHitbox:10;C2ElecWhipmanPrefab (1)-AttackHitBox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Stage2_8","ReduceDashCooltime,MaxHPBuff1",52.88,24,0,286.00,6.90,41.4484,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,33,3,790.00,22.52,35.0848,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff}",60.00,20,5,0,6,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ElecWhipmanPrefab-LowAttackHitBox:10;Player-슈아2 감전 스택 폭발:10;C2TonpaManPrefab-MeleeAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;Crosshair-hitbox:10"
