SerialNumber,5a527c7ff89f8504700dfb1642356733184be897
TotalPlayTime,7102.63
TotalDeathCount,69
TotalKilledEnemies,506
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",34.68,34,0,270.00,14.95,18.0601,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,12,3,4,1,0,""
"C1_Stage2_2","",129.95,44,0,381.00,21.85,17.4371,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,24,4,10,3,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:10"
"C1_Stage2_3","",5.90,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,1,0,1,0,0,""
"C1_Stage2_4","",91.35,55,3,894.70,25.77,34.7232,18,0,87.00,8.45,10.2959,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff}",10.00,28,4,5,4,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_5","",14.63,17,1,332.10,5.93,55.9712,4,0,18.00,1.35,13.3330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,6,2,3,1,0,""
"C1_Stage2_6","",39.87,40,1,807.40,19.10,42.2723,7,1,36.00,1.08,33.2295,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,18,5,5,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10"
"C1_Stage2_7","",337.65,372,12,6311.60,153.37,41.1537,54,0,313.50,11.37,27.5806,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff}",220.00,152,32,29,28,5,"C1EliteTonpaMob (3)-Rush Attack:30;C1GunnerMobPrefab-RangedAttackHitbox:50;C1EliteTonpaMob-Rush Attack:20;C1TonpaMobPrefab (11)-AttackHitbox:20;C1TonpaMobPrefab (16)-AttackHitbox:20;C1PistolMob-AttackHitbox:20;C1EliteTonpaMob (3)-Attack:10;C1TonpaMobPrefab (21)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_8","",63.37,27,1,429.40,13.13,32.6958,2,0,3.00,1.53,1.9567,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,18,1,16,2,0,""
"C1_Stage2_9","",52.73,63,1,1119.30,22.47,49.8205,4,0,18.00,0.27,67.4856,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,23,6,8,8,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_10","",30.96,14,1,195.30,6.13,31.8426,6,0,6.00,1.97,3.0508,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,4,0,2,1,0,""
