SerialNumber,acc2d3e0e7df43aedc580f991e4691a279d47502
TotalPlayTime,3980.15
TotalDeathCount,5
TotalKilledEnemies,346
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",21.03,19,0,300.00,5.72,52.4775,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,1,0,""
"C1_Stage2_2","",109.25,31,0,407.00,10.05,40.4978,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,6,4,5,4,0,"C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_3","",15.99,5,0,0.00,1.73,0.0000,2,0,0.00,1.32,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",70.63,64,3,930.30,24.23,38.3891,13,0,71.80,2.85,25.1927,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,16,4,2,5,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage2_5","",19.69,21,1,327.00,7.67,42.6527,6,0,33.00,1.25,26.4013,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,5,1,2,1,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage2_6","",42.93,51,2,833.20,19.32,43.1335,15,0,39.00,3.33,11.6996,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,13,4,6,6,0,"C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",88.24,85,2,1134.00,25.93,43.7272,27,1,378.50,15.45,24.4984,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",60.00,22,3,13,8,0,"C1EliteTonpaMob (3)-Attack:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (3)-:30;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",35.01,31,0,429.00,9.78,43.8507,5,1,18.00,1.73,10.3842,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,5,1,3,1,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_9","",63.48,77,1,1133.00,22.95,49.3682,4,0,18.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",50.00,18,8,2,6,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_10","",46.39,15,1,185.70,6.52,28.4959,11,0,22.50,4.67,4.8213,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,3,0,6,1,0,"C1SandMecha-MeleeHitbox:20"
