SerialNumber,4cfdf32cb36563ca2a51cef7310af33e5ab0dfd2
TotalPlayTime,2184.09
TotalDeathCount,4
TotalKilledEnemies,188
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",24.87,16,0,300.00,6.95,43.1654,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,1,2,2,0,""
"C1_Stage2_2","",108.41,32,0,387.00,10.23,37.8174,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,4,4,4,1,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:20"
"C1_Stage2_3","",16.71,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,0,0,1,0,0,""
"C1_Stage2_4","",100.73,18,0,189.60,5.57,34.0604,47,5,858.00,40.83,21.0123,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",40.00,22,15,0,10,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_5","",34.22,0,0,0.00,0.00,NaN,20,2,382.00,18.70,20.4278,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,10,5,5,3,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage2_6","",89.95,9,0,59.30,3.97,14.9498,46,4,879.50,43.78,20.0875,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun}",40.00,20,16,6,4,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage2_7","",136.42,25,0,114.80,8.35,13.7485,87,4,1408.50,74.95,18.7926,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun}",90.00,39,26,10,9,0,"C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob (4)-Rush Attack:20;C1EliteTonpaMob (4)-Attack:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Attack:10"
"C1_Stage2_8","",56.47,0,0,0.00,0.00,NaN,30,2,431.00,27.15,15.8748,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,14,9,6,4,0,""
"C1_Stage2_9","",66.53,61,0,940.30,21.63,43.4654,11,1,203.00,5.12,39.6740,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",40.00,17,15,0,6,0,"C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_10","",89.15,1,0,0.00,1.82,0.0000,27,2,250.00,27.10,9.2251,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun}",80.00,13,2,12,4,1,"C1SandMecha-MeleeHitbox:80"
