SerialNumber,4cfdf32cb36563ca2a51cef7310af33e5ab0dfd2
TotalPlayTime,2669.89
TotalDeathCount,6
TotalKilledEnemies,167
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ReduceDashCooltime",99.33,65,0,963.40,24.92,38.6649,9,1,216.50,2.93,73.8068,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",60.00,20,11,2,5,0,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob (3)-AttackHitbox:10"
"C1_Boss_2","ReduceDashCooltime",0.74,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_3","ReduceDashCooltime",79.90,16,0,263.40,7.43,35.4350,23,4,583.00,22.15,26.3206,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",30.00,16,3,1,3,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1SandMecha-DashAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_4","ReduceDashCooltime",47.40,8,0,7.30,3.58,2.0372,22,3,845.50,20.23,41.7875,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",10.00,13,1,2,3,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Boss_5","ReduceDashCooltime",500.05,13,0,19.40,9.15,2.1202,150,10,1701.50,151.87,11.2039,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun}",320.00,91,8,16,30,1,"C1Boss-MeleeAttack2Hitbox :50;C1CannonExplode(Clone)-C1CannonExplode(Clone):30;C1Boss-DashAttackHitbox:80;C1Boss-CounterAttackHitbox:90;C1Boss-FlameThrowerMainHitbox:20;C1Boss-FlameThrowerStartHitbox:20;C1Boss-MeleeAttack3Hitbox:20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10"
"C2_Stage2_1","ShieldOnEvade",26.43,6,0,100.00,4.17,23.9999,12,0,225.00,7.53,29.8673,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,5,3,0,2,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Stage2_2","ShieldOnEvade",13.50,10,0,160.00,3.27,48.9797,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,3,0,3,0,""
"C2_Stage2_3","ShieldOnEvade",139.19,35,0,308.00,13.50,22.8149,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,24,0,202.50,18.18,11.1367,"{order:1,from:Spear,to:Spear}",10.00,27,6,0,11,0,"C2GunnerMobPrefab (5)-RangedAttackHitbox:10"
"C2_Stage2_4","ShieldOnEvade",7.29,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Spear,to:Spear}",0.00,0,0,0,0,0,""
"C2_Stage2_5","ShieldOnEvade",44.67,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,39,2,490.00,25.66,19.0992,"",30.00,17,8,0,5,0,"Player-슈아2 감전 스택 폭발:20;C2GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C2_Stage2_6","ShieldOnEvade",119.28,37,0,441.50,13.32,33.1540,24,0,405.00,18.25,22.1916,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,31,2,530.00,22.95,23.0934,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear}",150.00,45,16,2,9,2,"C2GunnerMobPrefab-RangedAttackHitbox:50;Crosshair-hitbox:30;C2ElecWhipmanPrefab-LowAttackHitBox:30;C2EliteMobPrefab-JumpAttackHitBox:10;C2EliteMobPrefab-RushAttackHitBox:10;Player-슈아2 감전 스택 폭발:10;C2ElecWhipmanPrefab-AttackHitBox:10"
"C2_Stage2_7","ShieldOnEvade",46.28,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,32,3,777.50,20.80,37.3799,"",30.00,16,11,0,5,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2TonpaManPrefab (5)-MeleeAttackHitbox:10;Crosshair-hitbox:10"
"C2_Stage2_8","ShieldOnEvade",74.12,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,64,4,1090.00,38.78,28.1050,"",60.00,19,6,1,9,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10;Player-슈아2 감전 스택 폭발:10;Crosshair-hitbox:20;C2TonpaManPrefab (2)-MeleeAttackHitbox:10;C2ElecWhipmanPrefab-AttackBrokenHitBox:10"
"C2_Stage2_9","ShieldOnEvade",57.38,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,23,5,1055.00,17.93,58.8289,"",20.00,9,0,2,3,0,"C2ElecWhipmanPrefab (1)-AttackHitBox:10;Player-슈아2 감전 스택 폭발:10"
"C2_Stage2_10","ShieldOnEvade",70.65,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,55,2,965.00,35.12,27.4793,"",120.00,20,6,4,6,1,"C2GunnerMobPrefab-RangedAttackHitbox:20;Crosshair-hitbox:30;C2ElecWhipmanPrefab-AttackBrokenHitBox:10;C2ElecWhipmanPrefab-AttackHitBox:10;C2ElecWhipmanPrefab-LowAttackHitBox:40;Player-슈아2 감전 스택 폭발:10"
"C2_Stage2_11","ShieldOnEvade",50.40,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,41,5,1320.00,26.73,49.3762,"",10.00,16,7,5,6,0,"Player-슈아2 감전 스택 폭발:10"
"C2_Stage2_12","ShieldOnEvade",638.47,52,0,0.00,19.13,0.0000,188,7,0.00,162.08,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,65,5,0.00,50.70,0.0000,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Spear,to:Spear};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Spear,to:Spear};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Spear,to:Spear};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Spear,to:Spear};{order:12,from:Staff,to:Staff};{order:13,from:Spear,to:Spear};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Spear,to:Spear};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Spear,to:Spear};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Spear,to:Spear};{order:23,from:Staff,to:Staff};{order:24,from:Shotgun,to:Shotgun};{order:25,from:Spear,to:Spear};{order:26,from:Staff,to:Staff}",450.00,145,28,7,37,2,"FallDamageArea-:20;C2MidBoss Tanker-Rush:110;C2MidBoss Tanker-Ground Slam:80;C2MidBoss Tanker-Electric Rush:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):70;C2MidBoss Sniper-Crosshair:100;Player-슈아2 감전 스택 폭발:40;C2MidBoss Tanker-Melee:10"
"C2_Boss_1","ShieldOnEvade",66.78,7,0,64.00,2.93,21.8181,15,2,411.50,12.23,33.6368,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,20,1,200.50,11.63,17.2462,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear}",60.00,15,7,3,5,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20;Player-슈아2 감전 스택 폭발:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:20;C2GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade",107.25,0,0,0.00,0.00,NaN,37,4,809.00,30.92,26.1671,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,42,5,1159.50,28.52,40.6602,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Spear,to:Spear};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Spear,to:Spear}",50.00,33,17,6,7,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:20;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;Player-슈아2 감전 스택 폭발:10"
"C2_Boss_3","ShieldOnEvade",46.10,0,0,0.00,0.00,NaN,15,1,170.00,12.40,13.7101,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,7,2,252.00,4.32,58.3819,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Spear,to:Spear};{order:3,from:Shotgun,to:Shotgun}",20.00,15,9,0,3,0,"C2EliteMobPrefab (1)-RushAttackHitBox:10;C2EliteMobPrefab (1)-JumpAttackHitBox:10"
"C2_Boss_4","ShieldOnEvade",32.08,0,0,0.00,0.00,NaN,1,0,0.00,2.85,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,3,0,0.00,4.40,0.0000,"{order:1,from:Spear,to:Spear};{order:2,from:Shotgun,to:Shotgun}",0.00,2,0,2,0,0,""
"C2_Boss_5","ShieldOnEvade",20.32,0,0,0.00,0.00,NaN,4,0,52.50,1.55,33.8752,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,14,3,632.50,8.98,70.4134,"{order:1,from:Spear,to:Spear}",0.00,4,0,0,2,0,""
