SerialNumber,9e565ad005d25db04679687c3336fd5ca0fdfb27
TotalPlayTime,6112.02
TotalDeathCount,32
TotalKilledEnemies,389
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",31.65,26,0,282.00,10.78,26.1514,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,11,3,4,2,0,""
"C1_Stage2_2","",115.89,27,0,384.00,9.33,41.1432,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,4,0,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_3","",10.34,4,0,0.00,1.53,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",121.66,96,0,1181.30,36.23,32.6026,31,6,649.50,11.00,59.0461,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff}",50.00,19,10,0,10,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Attack:20;C1PistolMobForDashTutorial-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_5","",17.63,20,0,233.50,7.55,30.9270,5,1,113.00,1.48,76.1764,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,4,1,2,1,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage2_6","",44.93,49,0,756.40,18.93,39.9508,9,2,81.00,3.52,23.0332,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,15,5,5,6,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Stage2_7","",153.89,146,3,2388.70,58.35,40.9372,26,2,282.40,7.07,39.9620,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",110.00,41,8,17,16,2,"C1GunnerMobPrefab-RangedAttackHitbox:30;C1EliteTonpaMob (3)-Attack:10;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (16)-AttackHitbox:10;C1EliteTonpaMob (3)-Rush Attack:10;C1EliteTonpaMob (4)-Attack:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_8","",38.45,27,0,310.30,12.02,25.8227,6,1,113.00,1.72,65.8273,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,8,2,2,3,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_9","",50.10,56,0,1080.00,18.48,58.4308,5,1,33.00,1.97,16.7786,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,12,5,0,6,0,"C1TonpaMobPrefab (7)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_10","",439.51,64,3,1941.70,36.12,53.7618,158,10,2007.00,94.57,21.2231,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Shotgun,to:Shotgun};{order:21,from:Staff,to:Staff};{order:22,from:Shotgun,to:Shotgun};{order:23,from:Staff,to:Staff};{order:24,from:Shotgun,to:Shotgun};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Staff,to:Staff};{order:29,from:Shotgun,to:Shotgun};{order:30,from:Staff,to:Staff};{order:31,from:Shotgun,to:Shotgun};{order:32,from:Staff,to:Staff};{order:33,from:Shotgun,to:Shotgun};{order:34,from:Staff,to:Staff};{order:35,from:Shotgun,to:Shotgun};{order:36,from:Staff,to:Staff};{order:37,from:Shotgun,to:Shotgun};{order:38,from:Staff,to:Staff};{order:39,from:Shotgun,to:Shotgun};{order:40,from:Staff,to:Staff};{order:41,from:Shotgun,to:Shotgun};{order:42,from:Shotgun,to:Shotgun};{order:43,from:Staff,to:Staff};{order:44,from:Shotgun,to:Shotgun};{order:45,from:Staff,to:Staff};{order:46,from:Shotgun,to:Shotgun};{order:47,from:Staff,to:Staff};{order:48,from:Shotgun,to:Shotgun};{order:49,from:Staff,to:Staff};{order:50,from:Shotgun,to:Shotgun};{order:51,from:Staff,to:Staff};{order:52,from:Shotgun,to:Shotgun};{order:53,from:Staff,to:Staff}",310.00,83,6,19,21,7,"C1SandMecha-MeleeHitbox:120;C1SandMecha-DashAttackHitbox:40;C1SandMecha (7)-MeleeHitbox:20;C1SandMecha (2)-MeleeHitbox:50;C1SandMecha (6)-MeleeHitbox:20;C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha (2)-DashAttackHitbox:10;C1SandMecha (5)-MeleeHitbox:30;C1SandMecha (4)-MeleeHitbox:10"
