SerialNumber,df0a821a6baa5f141c109c97e6c9b316c44c2ccf
TotalPlayTime,8263.36
TotalDeathCount,68
TotalKilledEnemies,528
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",32.62,20,0,288.00,6.27,45.9575,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,0,0,0,0,"C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",152.78,38,0,389.00,12.75,30.5098,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,4,1,0,1,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMobForDashTutorial (1)-AttackHitbox:20"
"C1_Stage2_3","",4.37,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",166.08,57,0,167.90,21.38,7.8519,86,6,911.00,70.23,12.9711,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",180.00,31,8,0,9,0,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Attack:20;C1EliteTonpaMob (1)-Rush Attack:40;C1EliteTonpaMob (1)-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob-Rush Attack:20;C1PistolMobForDashTutorial-AttackHitbox:40"
"C1_Stage2_5","",85.80,0,0,0.00,0.00,NaN,44,2,527.00,39.47,13.3532,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",100.00,16,1,4,2,1,"FallDamageArea-:10;C1TonpaMobPrefab (2)-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:40;C1EliteTonpaMob (1)-Attack:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_6","",333.80,97,1,749.80,32.57,23.0236,137,4,1615.00,99.22,16.2775,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff}",410.00,58,21,19,19,6,"FallDamageArea-:60;C1PistolMobForDashTutorial-AttackHitbox:140;C1TonpaMobPrefab (4)-AttackHitbox:20;C1TonpaMobPrefab (8)-AttackHitbox:30;C1EliteTonpaMob-Rush Attack:60;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:40;C1EliteTonpaMob (2)-Rush Attack:10;C1EliteTonpaMob (2)-Attack:10"
"C1_Stage2_7","",189.83,80,0,1009.40,28.35,35.6053,89,9,1220.50,74.90,16.2951,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",220.00,45,10,10,10,1,"C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob (3)-Rush Attack:50;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:70;C1EliteTonpaMob (4)-Rush Attack:10;C1EliteTonpaMob (4)-Attack:10;FallDamageArea (3)-:20;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_8","",55.38,16,0,102.70,4.43,23.1647,29,2,352.00,25.20,13.9682,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",50.00,7,2,4,2,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_9","",136.85,29,0,367.10,9.53,38.5080,80,2,818.00,66.23,12.3502,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun}",140.00,22,7,0,4,0,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:40"
"C1_Stage2_10","",105.30,0,0,0.00,0.00,NaN,68,8,1653.50,62.32,26.5341,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",100.00,22,0,0,2,0,"C1SandMecha-MeleeHitbox:40;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:20;C1SandMecha (5)-MeleeHitbox:10"
"C1_Stage3_1","",76.80,23,0,130.10,8.92,14.5903,18,2,185.00,17.97,10.2968,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",80.00,11,1,4,1,0,"FallDamageArea-:50;C1EliteTonpaMob (1)-Rush Attack:10;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",253.84,16,1,101.40,10.68,9.4912,102,5,1514.50,75.10,20.1664,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun}",270.00,40,4,3,9,4,"C1EliteTonpaMob (2)-Rush Attack:70;C1PistolMob (2)-AttackHitbox:70;FallDamageArea (1)-:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30"
