SerialNumber,9e565ad005d25db04679687c3336fd5ca0fdfb27
TotalPlayTime,1449.91
TotalDeathCount,5
TotalKilledEnemies,38
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",18.93,18,0,287.00,5.95,48.2352,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,0,2,0,""
"C1_Stage2_2","",85.53,22,0,383.00,8.87,43.1952,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,8,2,3,4,0,""
"C1_Stage2_3","",4.13,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_1","",109.36,86,0,0.00,28.33,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,21,10,0,11,0,"C1MidBoss-RushKick:10;C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 2:10"
"C1_Boss_1","MaxHPBuff1",1.98,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_2","MaxHPBuff1",456.01,202,0,1699.70,96.03,17.6990,129,12,1438.90,50.67,28.3994,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Shotgun,to:Shotgun};{order:25,from:Staff,to:Staff};{order:26,from:Shotgun,to:Shotgun};{order:27,from:Staff,to:Staff};{order:28,from:Shotgun,to:Shotgun};{order:29,from:Staff,to:Staff};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Staff,to:Staff};{order:32,from:Shotgun,to:Shotgun};{order:33,from:Shotgun,to:Shotgun};{order:34,from:Staff,to:Staff};{order:35,from:Shotgun,to:Shotgun};{order:36,from:Staff,to:Staff};{order:37,from:Shotgun,to:Shotgun};{order:38,from:Staff,to:Staff};{order:39,from:Shotgun,to:Shotgun};{order:40,from:Staff,to:Staff};{order:41,from:Shotgun,to:Shotgun};{order:42,from:Staff,to:Staff};{order:43,from:Shotgun,to:Shotgun};{order:44,from:Staff,to:Staff};{order:45,from:Shotgun,to:Shotgun};{order:46,from:Staff,to:Staff};{order:47,from:Shotgun,to:Shotgun};{order:48,from:Staff,to:Staff};{order:49,from:Shotgun,to:Shotgun};{order:50,from:Staff,to:Staff};{order:51,from:Shotgun,to:Shotgun};{order:52,from:Staff,to:Staff};{order:53,from:Shotgun,to:Shotgun};{order:54,from:Staff,to:Staff};{order:55,from:Shotgun,to:Shotgun};{order:56,from:Staff,to:Staff};{order:57,from:Shotgun,to:Shotgun};{order:58,from:Staff,to:Staff};{order:59,from:Shotgun,to:Shotgun};{order:60,from:Staff,to:Staff};{order:61,from:Shotgun,to:Shotgun};{order:62,from:Staff,to:Staff}",190.00,76,19,7,44,3,"C1Boss-CounterAttackHitbox:70;C1Boss-MeleeAttack3Hitbox:20;C1Boss-MeleeAttack1Hitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-MeleeAttack2Hitbox :40;C1Boss-DashAttackHitbox:20;C1Boss-FlameThrowerStartHitbox:10"
"C2_Stage2_1","ShieldOnEvade",15.58,21,0,341.00,5.90,57.7964,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,4,0,2,0,""
"C2_Stage2_2","ShieldOnEvade",13.48,12,0,167.00,3.38,49.3601,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,1,0,1,0,""
"C2_Stage2_3","ShieldOnEvade",111.34,27,0,287.00,9.33,30.7499,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,20,0,180.00,16.53,10.8869,"{order:1,from:Spear,to:Spear}",0.00,20,3,3,10,0,""
"C2_Stage2_4","ShieldOnEvade",3.01,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
