SerialNumber,acc2d3e0e7df43aedc580f991e4691a279d47502
TotalPlayTime,1181.94
TotalDeathCount,4
TotalKilledEnemies,127
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",28.19,27,0,291.00,9.95,29.2465,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,1,0,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",101.93,32,0,408.00,11.60,35.1724,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,9,4,0,2,0,"C1PistolMobForDashTutorial-AttackHitbox:40"
"C1_Stage2_3","",11.42,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",159.86,113,0,967.10,42.27,22.8811,52,6,679.00,29.70,22.8619,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff}",160.00,29,12,0,8,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob-Attack:40;C1EliteTonpaMob (1)-Rush Attack:20;C1TonpaMobPrefab-AttackHitbox:20;C1EliteTonpaMob (1)-Attack:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_5","",30.90,14,0,208.10,7.78,26.7364,15,2,152.00,11.03,13.7765,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,7,0,4,0,0,"C1EliteTonpaMob (1)-Attack:20;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage2_6","",41.96,52,1,779.40,18.47,42.2060,10,1,96.00,2.20,43.6373,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,9,3,7,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10"
"C1_Stage2_7","",165.93,166,2,2567.80,58.05,44.2344,29,3,183.00,11.12,16.4616,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff}",210.00,40,12,27,7,3,"C1EliteTonpaMob (3)-Rush Attack:60;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:60;C1GunnerMobPrefab-RangedAttackHitbox:40;C1EliteTonpaMob (4)-Rush Attack:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_8","",31.68,24,0,413.00,8.08,51.0925,4,1,33.00,1.48,22.2480,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,2,8,3,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",56.16,69,1,1110.00,25.58,43.3876,5,0,33.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,15,4,1,4,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_10","",35.01,14,1,202.60,5.28,38.3471,8,0,7.50,3.90,1.9231,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,5,2,1,1,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",1.52,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
