SerialNumber,acc2d3e0e7df43aedc580f991e4691a279d47502
TotalPlayTime,2660.66
TotalDeathCount,12
TotalKilledEnemies,238
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage3_1","",100.34,86,3,1359.30,36.98,36.7543,24,0,103.50,8.25,12.5455,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",130.00,24,4,11,4,1,"C1EliteTonpaMob (2)-Rush Attack:20;C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:30;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_2","",41.78,43,2,584.30,16.62,35.1635,18,1,265.00,7.75,34.1940,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun}",40.00,10,2,2,2,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_3","",61.38,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_4","",11.37,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage3_5","",78.66,88,2,1322.50,30.82,42.9152,21,3,198.00,10.28,19.2544,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",80.00,22,7,0,6,0,"C1SandMecha-MeleeHitbox:20;C1PistolMob (5)-AttackHitbox:30;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage3_6","",55.18,18,2,426.40,13.07,32.6328,14,0,129.00,4.73,27.2533,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,9,1,7,1,0,""
"C1_Stage3_7","",255.08,318,0,0.00,93.18,0.0000,25,0,0.00,21.02,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",280.00,62,25,3,22,3,"C1MidBoss-TangTang 2:80;C1MidBoss-KickKick 1:80;C1MidBoss-TangTang 1:60;C1MidBoss-Taaang:10;C1MidBoss-RushKick:40;C1MidBoss-KickKick 2:10"
"C1_Boss_1","ResetDashCooltimeOnWeaponChange",53.24,6,0,108.00,3.28,32.8929,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,1,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ResetDashCooltimeOnWeaponChange",66.98,96,1,1080.50,31.40,34.4109,12,2,332.50,5.33,62.3433,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,22,5,0,7,0,"C1EliteTonpaMob-Rush Attack:20;C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_3","ResetDashCooltimeOnWeaponChange",73.36,84,0,970.90,29.40,33.0240,13,3,141.50,7.77,18.2188,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff}",80.00,21,0,4,2,1,"C1SandMecha-MeleeHitbox:30;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob (2)-Attack:10;C1EliteTonpaMob (2)-Rush Attack:10"
