SerialNumber,63a29c604fdea4188f9b37a40bffcaf340a69747
TotalPlayTime,1732.84
TotalDeathCount,1
TotalKilledEnemies,150
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",37.55,26,0,282.00,12.28,22.9580,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,10,2,1,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",95.70,34,0,394.00,11.67,33.7713,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,9,7,0,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_3","",2.78,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage2_4","",109.83,39,0,389.70,15.35,25.3874,44,5,647.40,34.58,18.7199,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",90.00,28,5,3,4,0,"C1EliteTonpaMob-Rush Attack:50;C1EliteTonpaMob (1)-Rush Attack:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_5","",27.13,13,0,185.10,6.70,27.6266,11,2,184.00,9.35,19.6792,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,5,1,3,2,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage2_6","",61.56,35,0,534.80,12.20,43.8369,20,4,372.00,20.50,18.1464,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,10,6,8,6,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_7","",114.33,81,0,987.40,24.95,39.5748,34,5,530.40,36.83,14.4001,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",80.00,24,14,12,7,0,"C1EliteTonpaMob (3)-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1EliteTonpaMob (4)-Attack:10;FallDamageArea (3)-:20;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_8","",50.26,20,0,255.40,5.10,50.0781,14,2,164.00,13.57,12.0885,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,6,4,3,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Attack:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",61.96,55,0,987.30,18.23,54.1479,12,2,172.00,10.20,16.8628,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,11,9,0,4,0,"C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_10","",46.05,15,0,122.70,7.20,17.0415,13,1,92.00,8.77,10.4942,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,4,0,1,0,0,"C1SandMecha-MeleeHitbox:30"
