SerialNumber,f6583e43d710e9ad71aeabb502e0561ac76ffe5c
TotalPlayTime,2008.24
TotalDeathCount,5
TotalKilledEnemies,138
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",35.99,23,0,282.00,8.12,34.7432,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,1,5,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",161.09,31,0,408.00,9.82,41.5620,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,3,2,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_3","",7.97,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",117.39,39,0,404.00,12.25,32.9794,46,6,610.50,46.35,13.1715,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",60.00,15,7,0,4,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob (1)-Attack:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_5","",28.24,35,0,301.40,8.97,33.6143,6,0,33.00,3.30,9.9999,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",0.00,6,4,4,3,0,""
"C1_Stage2_6","",105.74,34,0,378.40,10.47,36.1533,36,4,528.50,36.95,14.3031,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",90.00,13,7,6,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1EliteTonpaMob (2)-Attack:20;FallDamageArea (1)-:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",188.42,53,0,572.30,14.13,40.4927,83,7,1476.50,75.40,19.5822,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",150.00,30,26,12,12,1,"C1EliteTonpaMob (3)-Rush Attack:30;C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMob (2)-AttackHitbox:30;C1EliteTonpaMob (4)-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob (4)-Attack:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_8","",47.16,0,0,0.00,0.00,NaN,21,2,466.00,19.55,23.8366,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,7,3,3,0,""
"C1_Stage2_9","",66.74,53,0,730.00,16.72,43.6699,20,2,424.00,16.00,26.5002,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun}",20.00,13,12,0,8,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_10","",78.25,0,0,0.00,0.00,NaN,35,2,231.50,31.03,7.4597,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,6,6,0,1,0,"C1SandMecha-MeleeHitbox:50;C1SandMecha (2)-MeleeHitbox:10"
"C1_Stage3_1","",86.42,25,0,304.80,9.88,30.8395,9,2,162.50,9.35,17.3795,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",60.00,11,4,15,3,1,"FallDamageArea-:10;C1PistolMob (1)-AttackHitbox:40;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_2","",128.78,34,0,514.40,15.48,33.2224,43,4,693.50,36.38,19.0612,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",170.00,21,18,5,3,2,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:70;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:30;C1EliteTonpaMob (2)-Attack:10;C1EliteTonpaMob-Rush Attack:30;C1EliteTonpaMob-Attack:10"
"C1_Stage3_3","",62.58,0,0,0.00,0.00,NaN,41,6,947.00,37.97,24.9430,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,11,10,1,4,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Attack:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_4","",88.09,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",10.46,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,1,0,0,""
"C1_Stage3_6","",51.44,0,0,0.00,0.00,NaN,29,1,243.50,24.48,9.9454,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,11,9,0,2,1,"C1SandMecha-MeleeHitbox:60;C1SandMecha-DashAttackHitbox:10"
