SerialNumber,f6583e43d710e9ad71aeabb502e0561ac76ffe5c
TotalPlayTime,1629.75
TotalDeathCount,3
TotalKilledEnemies,105
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage3_1","",83.99,12,0,107.40,3.92,27.4212,13,3,487.00,12.87,37.8498,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun}",20.00,9,8,1,2,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_2","",164.84,86,0,0.00,26.28,0.0000,10,0,0.00,3.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",50.00,22,20,0,8,0,"C1MidBoss-TangTang 2:10;C1MidBoss-KickKick 1:40"
"C1_Boss_1","ReduceDashCooltime",49.61,9,0,110.00,2.82,39.0543,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,1,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ReduceDashCooltime",109.58,60,0,566.30,19.27,29.3926,35,6,906.00,34.58,26.1977,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",100.00,28,19,0,7,0,"C1EliteTonpaMob-Rush Attack:30;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1SandMecha (1)-MeleeHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:20;C1GunnerMobPrefab (8)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Boss_3","ReduceDashCooltime",82.79,53,0,357.40,24.02,14.8813,32,4,646.50,17.88,36.1515,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff}",80.00,25,19,0,6,0,"C1SandMecha-MeleeHitbox:30;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:10"
"C1_Boss_4","ReduceDashCooltime",147.58,64,0,901.30,20.68,43.5761,11,2,297.50,12.82,23.2120,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",50.00,18,14,4,3,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;FallDamageArea-:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Boss_5","ReduceDashCooltime",0.72,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_6","ReduceDashCooltime",90.23,23,0,298.00,12.43,23.9676,27,3,530.50,17.97,29.5265,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun}",50.00,14,14,0,3,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1SandMecha (1)-MeleeHitbox:20;C1SandMecha-MeleeHitbox:10;C1SandMecha-DashAttackHitbox:10"
"C1_Boss_7","ReduceDashCooltime",45.89,0,0,0.00,0.00,NaN,26,2,749.00,23.98,31.2299,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",20.00,14,14,0,2,0,"C1PistolMob (6)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_8","ReduceDashCooltime",562.23,31,0,105.50,12.10,8.7193,175,9,1804.50,160.47,11.2454,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun}",380.00,90,83,3,46,3,"C1Boss-DashAttackHitbox:60;C1Boss-DestroyBoxHitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):60;C1Boss-CounterAttackHitbox:80;C1Boss-MeleeAttack2Hitbox :60;C1Boss-MeleeAttack1Hitbox:20;C1Boss-MeleeAttack3Hitbox:30;C1Boss-FlameThrowerStartHitbox:40;C1Boss-FlameThrowerMainHitbox:10"
