SerialNumber,f6583e43d710e9ad71aeabb502e0561ac76ffe5c
TotalPlayTime,1378.92
TotalDeathCount,4
TotalKilledEnemies,84
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C2_Stage2_1","StrongerFeverTime",16.14,18,0,326.00,4.50,72.4444,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,3,0,2,0,""
"C2_Stage2_2","StrongerFeverTime",13.63,15,0,160.00,3.48,45.9330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,2,0,0,1,0,"C2TonpaManPrefab (13)-MeleeAttackHitbox:10;C2GunnerMobPrefab (4)-RangedAttackHitbox:10"
"C2_Stage2_3","StrongerFeverTime",158.54,39,0,274.50,14.65,18.7372,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,27,0,202.50,18.47,10.9657,"{order:1,from:Spear,to:Spear}",30.00,22,15,1,4,0,"C2GunnerMobPrefab (5)-RangedAttackHitbox:20;C2GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C2_Stage2_4","StrongerFeverTime",1.98,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C2_Stage2_5","StrongerFeverTime",46.01,22,0,211.50,7.37,28.7106,1,0,0.00,0.57,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,14,2,295.00,8.33,35.3998,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear}",30.00,14,12,0,3,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (3)-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Stage2_6","StrongerFeverTime",60.94,20,0,180.00,5.15,34.9517,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,31,3,1142.50,19.22,59.4534,"{order:1,from:Staff,to:Staff};{order:2,from:Spear,to:Spear}",70.00,17,15,0,4,1,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10;Player-슈아2 감전 스택 폭발:20;C2ElecWhipmanPrefab-LowAttackHitBox:20;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Stage2_7","StrongerFeverTime",40.46,18,0,271.50,4.53,59.8898,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,26,2,489.50,13.23,36.9899,"{order:1,from:Staff,to:Staff};{order:2,from:Spear,to:Spear};{order:3,from:Staff,to:Staff};{order:4,from:Spear,to:Spear}",50.00,15,12,0,7,0,"C2ElecWhipmanPrefab (1)-LowAttackHitBox:20;Crosshair-hitbox:20;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Stage2_8","StrongerFeverTime",142.34,52,0,704.00,16.62,42.3676,12,1,215.00,7.77,27.6822,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,74,5,1362.50,41.62,32.7394,"{order:1,from:Staff,to:Staff};{order:2,from:Spear,to:Spear};{order:3,from:Staff,to:Staff};{order:4,from:Spear,to:Spear};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Spear,to:Spear};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Spear,to:Spear};{order:11,from:Staff,to:Staff};{order:12,from:Spear,to:Spear};{order:13,from:Shotgun,to:Shotgun}",140.00,43,33,1,12,2,"C2ElecWhipmanPrefab-AttackHitBox:20;Crosshair-hitbox:20;Player-슈아2 감전 스택 폭발:40;C2ElecWhipmanPrefab-AttackBrokenHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ElecWhipmanPrefab-LowAttackHitBox:30;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Stage2_9","StrongerFeverTime",54.41,3,0,27.00,2.82,9.5856,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,21,4,1030.00,12.32,83.6275,"{order:1,from:Staff,to:Staff};{order:2,from:Spear,to:Spear};{order:3,from:Staff,to:Staff};{order:4,from:Spear,to:Spear};{order:5,from:Staff,to:Staff}",20.00,10,8,0,2,0,"C2EliteMobPrefab (1)-JumpAttackHitBox:10;Player-슈아2 감전 스택 폭발:10"
"C2_Stage2_10","StrongerFeverTime",52.69,40,0,476.00,13.40,35.5227,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,9,1,335.00,3.93,85.1691,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",60.00,13,11,4,1,1,"FallDamageArea-:10;C2GunnerMobPrefab-RangedAttackHitbox:40;C2ElecWhipmanPrefab-LowAttackHitBox:10"
