SerialNumber,ecf12632116c6e967496d2a397ab0d7e9370181c
TotalPlayTime,1915.34
TotalDeathCount,0
TotalKilledEnemies,148
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",34.24,19,0,282.00,8.53,33.0467,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,10,1,3,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",118.10,38,0,402.00,15.03,26.7406,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,8,5,2,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_3","",18.68,1,0,0.00,0.47,0.0000,5,0,0.00,5.83,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",129.71,46,0,559.10,20.93,26.7087,34,5,427.50,28.85,14.8180,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff}",40.00,17,3,1,4,0,"C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob (1)-Rush Attack:20"
"C1_Stage2_5","",29.76,11,0,167.80,6.30,26.6350,13,2,184.00,10.22,18.0098,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,7,0,2,1,0,"C1EliteTonpaMob (1)-Rush Attack:20"
"C1_Stage2_6","",64.56,45,0,662.10,20.45,32.3764,7,2,182.50,4.00,45.6250,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,15,3,5,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage2_7","",80.36,69,0,1167.70,27.25,42.8512,12,3,294.00,4.35,67.5856,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",50.00,22,2,8,7,0,"C1EliteTonpaMob (3)-Rush Attack:30;C1EliteTonpaMob (4)-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",42.06,26,0,315.70,9.80,32.2133,4,1,98.00,0.90,108.9007,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,2,5,3,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",62.42,45,0,852.60,20.05,42.5236,8,1,260.00,2.43,106.8379,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,18,4,0,6,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_10","",33.67,12,0,124.00,5.35,23.1766,5,1,86.00,2.13,40.3085,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",0.00,3,0,1,1,0,""
