SerialNumber,87057d66c68dee834855d8464e5b5bf1e0226dec
TotalPlayTime,5941.41
TotalDeathCount,7
TotalKilledEnemies,170
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",2775.95,22,0,285.00,10.18,27.9902,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,12,6,8,2,0,""
"C1_Stage2_2","",111.37,24,0,400.00,7.77,51.5091,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,8,7,7,4,0,"C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_3","",5.28,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",0.00,0,0,0,0,0,""
"C1_Stage2_4","",110.93,86,3,772.70,27.70,27.8961,25,1,228.00,16.55,13.7766,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff}",60.00,19,16,0,9,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob (1)-Rush Attack:20;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_5","",29.82,11,0,49.00,3.18,15.3914,14,2,317.50,9.58,33.1299,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",10.00,7,6,4,2,0,"C1EliteTonpaMob (1)-Attack:10"
"C1_Stage2_6","",117.54,64,1,522.30,24.98,20.9063,51,1,677.00,21.88,30.9361,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Staff,to:Staff};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Staff,to:Staff};{order:20,from:Shotgun,to:Shotgun};{order:21,from:Staff,to:Staff};{order:22,from:Shotgun,to:Shotgun};{order:23,from:Staff,to:Staff}",170.00,21,11,18,5,2,"C1PistolMobForDashTutorial-AttackHitbox:60;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:40;C1EliteTonpaMob (2)-Rush Attack:20;FallDamageArea (1)-:10;C1EliteTonpaMob-Rush Attack:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_7","",80.75,50,2,960.70,19.27,49.8622,29,1,537.00,15.48,34.6823,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff}",50.00,22,10,30,7,0,"C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab-Hitboxes:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_8","",48.12,14,0,194.70,7.58,25.6742,13,1,231.00,5.13,45.0003,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",20.00,8,4,6,5,0,"C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage2_9","",91.52,34,0,482.40,14.08,34.2529,39,1,664.00,16.60,39.9974,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff}",80.00,23,14,3,15,0,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:30;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Stage2_10","",276.44,64,1,1317.70,20.32,64.8574,124,9,2003.40,78.65,25.4714,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Staff,to:Staff};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Staff,to:Staff};{order:29,from:Shotgun,to:Shotgun};{order:30,from:Staff,to:Staff};{order:31,from:Shotgun,to:Shotgun};{order:32,from:Staff,to:Staff};{order:33,from:Shotgun,to:Shotgun};{order:34,from:Staff,to:Staff};{order:35,from:Shotgun,to:Shotgun};{order:36,from:Staff,to:Staff};{order:37,from:Shotgun,to:Shotgun}",340.00,35,12,81,11,4,"C1SandMecha-DashAttackHitbox:30;C1SandMecha-MeleeHitbox:120;C1SandMecha (3)-LandingImpactHitbox:50;C1SandMecha (1)-MeleeHitbox:40;C1SandMecha (3)-DashAttackHitbox:20;C1SandMecha (7)-MeleeHitbox:20;C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha (3)-MeleeHitbox:20;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (6)-DashAttackHitbox:10"
