SerialNumber,3dc53079699f243a77ce43afc7859fa584ab3427
TotalPlayTime,6141.55
TotalDeathCount,70
TotalKilledEnemies,517
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",134.33,100,0,0.00,34.97,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,27,14,5,6,0,"C1MidBoss-TangTang 1:10;C1MidBoss-TangTang 2:10"
"C1_Stage2_1","",59.94,51,0,675.00,21.03,32.0921,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,17,6,1,2,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:10"
"C1_Stage2_2","",106.55,29,0,150.29,11.37,13.2219,19,2,161.80,14.78,10.9449,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",0.00,11,5,0,3,0,""
"C1_Stage2_3","",122.17,27,0,397.00,12.33,32.1897,44,4,628.50,41.77,15.0479,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,36,18,0,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",32.51,10,0,144.30,5.65,25.5400,8,1,191.00,4.80,39.7918,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,7,5,6,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob (1)-Attack:10"
"C1_Stage2_5","",45.04,51,0,671.30,16.03,41.8686,6,2,181.00,4.07,44.5090,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,12,4,5,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_6","",524.05,388,1,6234.10,139.81,44.5897,92,16,1504.00,44.73,33.6218,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Staff,to:Staff};{order:20,from:Shotgun,to:Shotgun};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Staff,to:Staff};{order:29,from:Shotgun,to:Shotgun};{order:30,from:Staff,to:Staff};{order:31,from:Shotgun,to:Shotgun};{order:32,from:Staff,to:Staff};{order:33,from:Shotgun,to:Shotgun};{order:34,from:Staff,to:Staff};{order:35,from:Shotgun,to:Shotgun};{order:36,from:Staff,to:Staff};{order:37,from:Shotgun,to:Shotgun};{order:38,from:Staff,to:Staff}",430.00,141,20,42,38,19,"C1PistolMob (2)-AttackHitbox:100;Hinge-Hitbox:70;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:30;C1EliteTonpaMob (3)-Rush Attack:80;FallDamageArea (1)-:50;FallDamageArea (3)-:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:10;C1TonpaMobPrefab (11)-AttackHitbox:10;FallDamageArea (2)-:10;C1EliteTonpaMob (4)-Rush Attack:10;C1EliteTonpaMob (4)-Attack:10"
"C1_Stage2_7","",32.26,26,0,322.00,11.08,29.0529,5,1,113.00,1.72,65.8249,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,13,0,2,3,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",65.31,60,0,1031.00,21.45,48.0654,15,2,96.00,12.10,7.9339,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,22,4,0,3,0,"C1PistolMob-AttackHitbox:30"
"C1_Stage2_9","",32.66,11,0,171.40,5.02,34.1657,4,1,36.00,2.68,13.4167,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,6,0,1,1,0,""
