SerialNumber,e1d537ccd0f12fa76df4db73a8904a921776f095
TotalPlayTime,3387.14
TotalDeathCount,5
TotalKilledEnemies,315
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",160.84,148,0,0.00,45.50,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,28,28,0,20,0,"C1MidBoss-TangTang 1:10"
"C1_Stage2_1","",43.02,45,0,685.00,14.80,46.2840,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,11,3,18,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:20"
"C1_Stage2_2","",103.02,26,0,199.07,10.17,19.5806,15,2,111.65,10.82,10.3221,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,9,5,2,5,0,"Stranger (tutorial boss)-Attack:10"
"C1_Stage2_3","",74.90,39,0,509.70,13.19,38.6445,9,3,479.00,2.49,192.0689,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,7,3,4,4,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_4","",7.55,0,0,0.00,1.35,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,3,1,0,""
"C1_Stage2_5","",22.05,0,0,0.00,3.05,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,8,3,8,4,0,"Hinge-Hitbox:10;FallDamageArea-:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_6","",49.65,32,0,578.00,14.01,41.2533,3,1,323.00,0.91,356.6300,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",60.00,16,4,10,4,0,"C1EliteTonpaMob (3)-Rush Attack:10;Hinge-Hitbox:20;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (3)-:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_7","",34.53,19,0,195.00,6.05,32.2295,4,1,83.00,1.77,46.9942,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,5,2,5,3,0,"C1EliteTonpaMob-Attack:10;Hinge-Hitbox:10"
"C1_Stage2_8","",42.90,60,0,1053.40,17.78,59.2298,3,1,93.00,0.70,133.1683,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,13,5,4,8,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage2_9","",128.25,18,2,1087.70,9.17,118.6777,20,3,609.50,11.74,51.9382,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",130.00,10,6,0,3,2,"C1SandMecha-MeleeHitbox:80;C1SandMecha-DashAttackHitbox:20;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
