SerialNumber,bb64b49c0a1612aad2f1ea2e843a748f3402dd9e
TotalPlayTime,1817.02
TotalDeathCount,3
TotalKilledEnemies,121
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",80.99,109,0,0.00,31.05,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,21,16,0,14,0,"C1MidBoss-RushKick:10"
"C1_Stage2_1","",34.62,39,0,697.00,15.60,44.6794,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,20,4,6,3,0,""
"C1_Stage2_2","",26.40,17,0,178.68,8.52,20.9800,13,2,126.50,6.78,18.6487,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,12,3,2,3,0,""
"C1_Stage3_1","",123.58,116,0,0.00,35.00,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,27,22,3,22,1,"C1MidBoss-KickKick 2:10;C1MidBoss-Room Center TangTang 1:30;C1MidBoss-Taaang:20"
"C1_Boss_1","",6.30,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,1,0,1,0,0,""
"C1_Boss_2","",242.25,85,0,999.80,29.92,33.4194,39,6,557.00,21.97,25.3567,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff}",70.00,35,7,2,16,1,"C1Boss-MeleeAttack1Hitbox:20;C1Boss-MeleeAttack3Hitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-DashAttackHitbox:10;C1Boss-CounterAttackHitbox:10"
"C2_Stage2_1","",15.78,13,0,173.00,4.90,35.3064,8,0,165.00,1.85,89.1874,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,5,2,2,3,0,""
"C2_Stage2_2","",10.77,12,0,166.00,4.02,41.3278,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,2,1,0,0,"C2GunnerMobPrefab (4)-RangedAttackHitbox:10"
"C2_Stage2_3","",105.56,28,0,260.00,12.17,21.3696,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,8,0,37.50,4.55,8.2418,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",10.00,15,1,2,5,0,"C2GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C2_Stage2_4","",1.59,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C2_Stage2_5","",26.22,26,0,307.00,9.10,33.7364,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,8,2,195.00,4.15,46.9884,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Spear,to:Spear};{order:5,from:Staff,to:Staff}",0.00,9,2,4,3,0,""
"C2_Stage2_6","",24.88,29,0,494.50,9.78,50.5449,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,9,2,300.00,3.73,80.3557,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear}",10.00,13,3,4,2,0,"C2ElecWhipmanPrefab-LowAttackHitBox:10"
"C2_Stage2_7","",24.60,29,0,362.00,10.15,35.6645,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,10,2,425.00,6.63,64.0719,"{order:1,from:Staff,to:Staff};{order:2,from:Spear,to:Spear};{order:3,from:Staff,to:Staff}",20.00,15,3,3,6,0,"C2GunnerMobPrefab (5)-RangedAttackHitbox:10;C2TonpaManPrefab-MeleeAttackHitbox:10"
"C2_Stage2_8","",40.33,55,0,853.50,19.08,44.7245,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,7,3,230.00,4.40,52.2739,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff}",0.00,17,1,2,4,0,""
"C2_Stage2_9","",29.63,8,1,254.00,7.14,35.5529,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,9,3,790.00,4.91,161.0351,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff}",0.00,10,2,2,4,0,""
