SerialNumber,bb64b49c0a1612aad2f1ea2e843a748f3402dd9e
TotalPlayTime,1824.86
TotalDeathCount,16
TotalKilledEnemies,135
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",151.41,128,0,0.00,44.87,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,33,27,0,25,1,"C1MidBoss-RushKick:20;C1MidBoss-TangTang 1:20"
"C1_Stage2_1","",53.62,42,0,672.00,15.02,44.7501,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,8,3,1,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:30"
"C1_Stage2_2","",134.15,18,0,15.90,9.33,1.7036,42,3,318.75,32.93,9.6787,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,22,8,2,12,0,"Stranger (tutorial boss)-Rush Attack:10"
"C1_Stage2_3","",202.73,62,0,877.70,26.10,33.6281,20,4,261.50,16.92,15.4581,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",130.00,28,6,3,9,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:90;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob (1)-Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",28.18,13,0,172.40,4.80,35.9168,6,0,34.50,4.75,7.2633,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",50.00,10,5,2,6,0,"C1EliteTonpaMob (1)-Rush Attack:10;Hinge-Hitbox:20;C1EliteTonpaMob (1)-Attack:10;FallDamageArea-:10"
"C1_Stage2_5","",121.05,42,0,519.10,19.40,26.7579,24,2,417.50,15.17,27.5276,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",150.00,29,5,7,9,1,"FallDamageArea-:20;C1TonpaMobPrefab (5)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:20;C1EliteTonpaMob (2)-Rush Attack:10;FallDamageArea (1)-:40;C1EliteTonpaMob-Rush Attack:10;Hinge-Hitbox:20"
"C1_Stage2_6","",294.58,149,0,2627.30,68.08,38.5904,32,6,715.40,13.60,52.5964,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff}",370.00,65,10,25,23,5,"C1EliteTonpaMob (3)-Rush Attack:80;FallDamageArea (2)-:10;C1PistolMob (2)-AttackHitbox:90;C1EliteTonpaMob (4)-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob (3)-Attack:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:50;C1TonpaMobPrefab (21)-AttackHitbox:10;Hinge-Hitbox:30;C1TonpaMobPrefab (16)-AttackHitbox:10;FallDamageArea (3)-:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",107.54,28,0,475.00,12.43,38.2041,8,1,218.00,5.03,43.3103,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",90.00,18,3,10,7,2,"C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:30;C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (19)-AttackHitbox:10;Hinge-Hitbox:10;FallDamageArea (4)-:10"
"C1_Stage2_8","",210.21,80,0,1266.40,27.15,46.6435,7,1,203.00,3.12,65.1330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",150.00,23,7,7,11,2,"C1PistolMob-AttackHitbox:60;C1GunnerMobPrefab (1)-RangedAttackHitbox:40;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_9","",174.84,14,0,166.80,11.63,14.3385,4,1,36.00,3.17,11.3681,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",190.00,17,1,30,5,4,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha (1)-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:50;C1SandMecha-DashAttackHitbox:40"
