SerialNumber,e1d537ccd0f12fa76df4db73a8904a921776f095
TotalPlayTime,3311.03
TotalDeathCount,3
TotalKilledEnemies,306
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",100.39,129,0,0.00,39.73,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,23,22,0,17,0,""
"C1_Stage2_1","",40.98,37,0,668.00,14.53,45.9635,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,16,4,16,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",74.65,31,0,182.48,9.60,19.0083,12,2,161.50,7.48,21.5812,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,6,4,0,3,0,"Stranger (tutorial boss)-Attack:20"
"C1_Stage2_3","",59.56,47,1,745.00,17.27,43.1467,10,2,239.00,3.48,68.6112,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,14,4,8,4,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_4","",7.50,4,0,94.00,1.82,51.7418,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,1,2,1,0,""
"C1_Stage2_5","",18.00,2,0,2.70,3.05,0.8852,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,2,9,2,0,"Hinge-Hitbox:20"
"C1_Stage2_6","",43.15,42,0,662.30,15.87,41.7417,3,1,78.00,1.07,73.1219,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,16,4,9,6,0,"Hinge-Hitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10"
"C1_Stage2_7","",24.32,11,0,238.00,5.70,41.7892,3,1,33.00,0.95,34.5632,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,7,2,5,3,0,"Hinge-Hitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",45.58,55,0,1006.40,16.88,59.6167,3,1,126.00,0.74,171.2897,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,15,4,3,5,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_9","",74.98,17,0,270.00,6.69,40.3665,14,5,1592.00,10.09,157.7071,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",70.00,9,3,0,5,1,"C1SandMecha-MeleeHitbox:40;C1SandMecha-DashAttackHitbox:10;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:10"
"C1_Stage3_1","",23.50,17,0,240.00,6.46,37.1267,4,1,86.00,1.39,62.0688,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,6,1,2,1,0,"C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",36.43,40,0,590.00,13.76,42.8665,7,2,204.00,1.69,120.9720,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,11,4,4,2,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage3_3","",30.57,33,0,428.50,11.31,37.8977,9,3,429.00,2.88,149.1351,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,10,6,2,5,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_4","",33.88,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",11.90,0,0,0.00,0.90,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,1,0,0,""
"C1_Stage3_6","",46.58,57,0,850.20,18.37,46.2945,18,5,717.40,7.81,91.8279,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",20.00,11,4,3,4,0,"C1EliteTonpaMob (3)-Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage3_7","",44.10,18,0,305.40,6.08,50.2024,7,2,239.00,1.73,137.8794,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,3,1,7,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_8","",104.74,102,0,0.00,27.70,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,17,10,0,11,0,"C1MidBoss-Taaang:10;C1MidBoss-Room Center TangTang 1:10;C1MidBoss-Room Center TangTang 2:10;C1MidBoss-KickKick 1:10;C1MidBoss-KickKick 2:10"
"C1_Boss_1","ResetDashCooltimeOnWeaponChange",535.32,5,0,110.00,2.55,43.1364,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,4,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
