SerialNumber,ECDF1CDE-3FF2-5F21-BAF1-9543126C3BB0
TotalPlayTime,3359.99
TotalDeathCount,0
TotalKilledEnemies,307
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",230.24,98,0,0.00,35.37,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,36,33,14,33,0,"C1MidBoss-RushKick:10;C1MidBoss-TangTang 1:10"
"C1_Stage2_1","",49.34,39,0,674.00,11.18,60.2692,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,2,13,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",79.99,36,1,197.81,12.37,15.9955,27,0,107.25,9.35,11.4706,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun}",10.00,8,4,4,5,0,"Stranger (tutorial boss)-Attack:10"
"C1_Stage2_3","",61.26,37,1,687.30,14.19,48.4297,13,2,331.90,5.86,56.6543,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",10.00,9,4,3,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",7.97,3,0,93.00,1.25,74.4000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,0,2,0,0,"Hinge-Hitbox:10"
"C1_Stage2_5","",19.23,7,0,154.00,3.78,40.7056,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,2,9,4,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_6","",41.71,34,0,532.30,11.38,46.7755,5,1,203.00,1.37,148.1889,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,8,4,17,6,0,"Hinge-Hitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",19.11,3,0,80.00,1.98,40.3373,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,10,1,0,""
"C1_Stage2_8","",45.36,52,0,1091.00,14.75,73.9655,4,1,48.00,0.83,57.6056,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,7,4,13,4,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",48.79,17,1,437.00,8.12,53.8396,18,3,1277.50,8.38,152.3841,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,9,4,11,4,0,"C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10"
"C1_Stage3_1","",23.09,17,0,288.00,6.10,47.2133,2,1,33.00,0.68,48.2915,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,2,9,1,0,"C1EliteTonpaMob (1)-Attack:10"
"C1_Stage3_2","",32.46,39,1,692.30,13.14,52.6673,8,1,96.00,1.12,85.5748,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,12,5,5,3,0,""
"C1_Stage3_3","",30.33,46,1,715.30,14.38,49.7313,9,2,144.00,3.27,44.0825,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,11,4,3,4,0,""
"C1_Stage3_4","",82.43,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,2,0,0,""
"C1_Stage3_5","",7.00,0,0,0.00,0.08,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,1,0,0,""
"C1_Stage3_6","",55.33,82,2,1328.60,24.63,53.9391,22,3,184.50,6.04,30.5703,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",20.00,15,7,5,6,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_7","",40.41,24,1,450.70,8.13,55.4142,4,1,96.00,0.98,97.6207,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,7,1,14,3,0,""
"C1_Stage3_8","",111.68,102,0,0.00,25.70,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,17,15,0,14,0,"C1MidBoss-KickKick 1:20"
"C1_Boss_1","ReduceDashCooltime",43.57,6,0,120.00,3.25,36.9217,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,7,0,0,""
"C1_Boss_2","ReduceDashCooltime",70.83,35,0,442.50,12.63,35.0265,40,4,1033.00,13.90,74.3158,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun}",40.00,11,2,11,2,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):20"
"C1_Boss_3","ReduceDashCooltime",47.56,51,1,790.50,16.87,46.8672,15,2,255.50,5.28,48.3597,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff}",10.00,11,2,11,2,0,"C1EliteTonpaMob (2)-Rush Attack:10"
"C1_Boss_4","ReduceDashCooltime",84.43,64,0,837.40,17.17,48.7793,11,1,351.50,3.27,107.6002,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,12,3,6,4,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea-:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_5","ReduceDashCooltime",3.96,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
