SerialNumber,41120aa5f5f11533432711df594d72d2b08e9605
TotalPlayTime,2002.04
TotalDeathCount,1
TotalKilledEnemies,195
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",115.02,119,0,0.00,34.92,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,24,18,0,9,0,"C1MidBoss-TangTang 1:40;C1MidBoss-RushKick:20;C1MidBoss-TangTang 2:10"
"C1_Stage2_1","",70.19,55,0,695.00,17.15,40.5249,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,7,3,3,1,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:20"
"C1_Stage2_2","",100.78,51,0,105.95,13.47,7.8676,21,2,221.50,13.83,16.0121,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",40.00,9,6,0,5,0,"Stranger (tutorial boss)-Rush Attack:20;Stranger (tutorial boss)-Attack:20"
"C1_Stage2_3","",68.28,60,0,701.80,16.67,42.1086,17,3,298.40,10.92,27.3345,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff}",10.00,9,5,0,5,0,"C1EliteTonpaMob-Hitboxes:10"
"C1_Stage2_4","",19.51,19,0,253.30,4.62,54.8660,5,1,85.00,3.42,24.8784,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,5,0,3,3,0,"FallDamageArea-:10;Hinge-Hitbox:10"
"C1_Stage2_5","",43.76,45,1,655.60,14.15,46.3319,13,1,206.00,4.15,49.6390,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",40.00,11,6,8,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;Hinge-Hitbox:20;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_6","",67.06,84,1,1124.30,23.00,48.8930,12,3,377.00,5.40,69.7514,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",50.00,13,8,7,6,0,"C1EliteTonpaMob (3)-Rush Attack:10;C1EliteTonpaMob (4)-Rush Attack:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_7","",27.41,26,0,358.00,6.59,54.3094,3,1,48.00,1.59,30.1592,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,5,3,2,4,0,"Hinge-Hitbox:10"
"C1_Stage2_8","",50.38,74,1,1097.10,18.97,57.8428,5,0,3.00,1.65,1.8182,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,12,9,1,4,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",36.02,12,0,102.70,3.83,26.7906,9,1,104.00,5.75,18.0872,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,2,1,0,1,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha-DashAttackHitbox:10"
"C1_Stage3_1","",29.33,16,0,214.00,5.67,37.7646,4,1,98.00,0.85,115.2974,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,5,3,4,3,0,"FallDamageArea-:20"
"C1_Stage3_2","",42.93,48,2,700.10,17.32,40.4296,14,1,110.00,4.13,26.6131,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",50.00,8,2,2,0,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage3_3","",30.16,41,1,554.40,11.80,46.9834,15,2,309.00,4.32,71.5813,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,7,2,0,3,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage3_4","",56.51,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",9.78,1,0,0.00,0.37,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_6","",66.11,72,1,1003.80,21.73,46.1976,34,4,568.50,14.09,40.3538,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",70.00,10,5,0,3,0,"C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Rush Attack:30;C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1PistolMob (5)-AttackHitbox:20"
"C1_Stage3_7","",45.74,24,0,260.10,6.48,40.1171,9,2,291.00,2.55,114.1209,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,5,2,2,2,0,""
"C1_Stage3_8","",124.67,82,0,0.00,22.47,0.0000,12,0,0.00,6.82,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",70.00,27,18,0,8,0,"C1MidBoss-KickKick 2:40;C1MidBoss-KickKick 1:10;C1MidBoss-TangTang 1:20"
"C1_Boss_1","ReduceDashCooltime",43.13,8,0,108.00,1.67,64.7968,0,0,0.00,0.20,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,1,1,0,1,0,""
"C1_Boss_2","ReduceDashCooltime",69.44,97,1,1202.00,26.00,46.2314,20,2,254.00,8.25,30.7874,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff}",20.00,18,8,0,5,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Boss_3","ReduceDashCooltime",25.81,11,1,249.70,4.78,52.2022,11,0,52.50,5.10,10.2937,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,4,1,0,2,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Boss_4","ReduceDashCooltime",296.05,91,2,1078.50,34.67,31.1108,65,4,461.30,37.23,12.3917,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff}",170.00,33,5,4,15,0,"C1Boss-CounterAttackHitbox:70;C1Boss-FlameThrowerStartHitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-FlameThrowerMainHitbox:20;C1Boss-DashAttackHitbox:30"
"C2_Stage2_1","StrongerFeverTime",29.67,20,0,168.00,7.27,23.1195,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,4,2,0,0,1,"C2GunnerMobPrefab-RangedAttackHitbox:20"
