SerialNumber,4a7b163b9955e3a6203028b99bceb97cf4a5e6b0
TotalPlayTime,1683.58
TotalDeathCount,3
TotalKilledEnemies,36
TotalClearedBosses,3

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",12.73,14,0,288.00,4.68,61.4912,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,0,1,0,""
"C1_Stage2_2","",85.60,21,0,394.00,6.33,62.2089,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,3,1,3,0,"C1PistolMobForDashTutorial (1)-AttackHitbox:10"
"C1_Stage2_3","",5.86,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_1","",119.86,103,0,0.00,34.07,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,24,10,0,13,0,"C1MidBoss-KickKick 1:20;C1MidBoss-RushKick:30;C1MidBoss-KickKick 2:10"
"C1_Boss_1","ReduceDashCooltime",3.63,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_2","ReduceDashCooltime",327.48,98,1,1055.10,46.46,22.7080,74,6,873.00,39.40,22.1571,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Staff,to:Staff};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Staff,to:Staff};{order:20,from:Shotgun,to:Shotgun};{order:21,from:Staff,to:Staff};{order:22,from:Shotgun,to:Shotgun};{order:23,from:Staff,to:Staff};{order:24,from:Shotgun,to:Shotgun};{order:25,from:Staff,to:Staff};{order:26,from:Shotgun,to:Shotgun};{order:27,from:Staff,to:Staff};{order:28,from:Shotgun,to:Shotgun};{order:29,from:Staff,to:Staff};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Staff,to:Staff};{order:32,from:Shotgun,to:Shotgun};{order:33,from:Staff,to:Staff};{order:34,from:Shotgun,to:Shotgun}",170.00,63,16,5,29,1,"C1Boss-CounterAttackHitbox:50;C1Boss-FlameThrowerMainHitbox:20;C1Boss-MeleeAttack2Hitbox :10;C1Boss-FlameThrowerStartHitbox:30;C1Boss-DashAttackHitbox:30;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-MeleeAttack3Hitbox:10"
"C2_Stage2_1","StrongerFeverTime",21.05,22,0,333.00,7.15,46.5772,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,8,2,0,2,0,""
"C2_Stage2_2","StrongerFeverTime",12.78,15,0,174.00,3.83,45.3836,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,1,0,2,0,""
"C2_Stage2_3","StrongerFeverTime",103.35,24,0,260.00,7.77,33.4788,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,21,0,165.00,12.03,13.7126,"{order:1,from:Spear,to:Spear}",0.00,14,2,0,7,0,""
"C2_Stage2_4","StrongerFeverTime",4.26,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C2_Stage2_5","StrongerFeverTime",259.19,72,0,0.00,29.10,0.0000,74,4,0.00,46.75,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,20,2,0.00,11.65,0.0000,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Spear,to:Spear};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Spear,to:Spear};{order:22,from:Shotgun,to:Shotgun};{order:23,from:Staff,to:Staff};{order:24,from:Shotgun,to:Shotgun};{order:25,from:Staff,to:Staff};{order:26,from:Shotgun,to:Shotgun};{order:27,from:Staff,to:Staff};{order:28,from:Shotgun,to:Shotgun};{order:29,from:Staff,to:Staff};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Spear,to:Spear};{order:32,from:Staff,to:Staff};{order:33,from:Shotgun,to:Shotgun};{order:34,from:Staff,to:Staff};{order:35,from:Spear,to:Spear};{order:36,from:Staff,to:Staff}",70.00,39,9,2,17,0,"C2MidBoss Tanker-Rush:10;C2MidBoss Tanker-Electric Rush:20;C2MidBoss Tanker-Ground Slam:20;C2MidBoss Sniper-Crosshair:10;C2MidBoss Tanker-Melee:10"
"C2_Boss_1","StrongerFeverTime",239.04,277,0,3102.00,85.03,36.4811,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,21,5,587.50,14.40,40.7989,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff};{order:7,from:Spear,to:Spear};{order:8,from:Staff,to:Staff};{order:9,from:Spear,to:Spear};{order:10,from:Staff,to:Staff}",240.00,58,4,0,18,2,"C2Boss-Drillshot-Swing:60;C2Boss-Kickshot-Kick:80;C2Boss-Lineshot:20;C2Boss-Jumpshot:30;C2Boss-Kickshot-Gun:20;FX_Explosion-Hitbox:30"
