SerialNumber,4a7b163b9955e3a6203028b99bceb97cf4a5e6b0
TotalPlayTime,1869.54
TotalDeathCount,11
TotalKilledEnemies,39
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",14.90,17,0,289.00,5.90,48.9920,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,0,1,3,0,""
"C1_Stage2_2","",86.54,29,0,387.00,8.58,45.0917,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,6,3,0,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:10"
"C1_Stage2_3","",3.43,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage2_4","",13.22,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_1","",124.09,101,0,0.00,35.33,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,27,12,0,16,0,"C1MidBoss-TangTang 2:10;C1MidBoss-RushKick:10;C1MidBoss-KickKick 1:10"
"C1_Boss_1","ReduceDashCooltime",1.93,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_2","ReduceDashCooltime",365.62,147,1,1471.40,61.03,24.1088,87,9,1150.50,37.17,30.9553,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Shotgun,to:Shotgun};{order:23,from:Staff,to:Staff};{order:24,from:Shotgun,to:Shotgun};{order:25,from:Staff,to:Staff};{order:26,from:Shotgun,to:Shotgun};{order:27,from:Staff,to:Staff};{order:28,from:Shotgun,to:Shotgun};{order:29,from:Staff,to:Staff};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Staff,to:Staff};{order:32,from:Shotgun,to:Shotgun};{order:33,from:Staff,to:Staff};{order:34,from:Shotgun,to:Shotgun};{order:35,from:Staff,to:Staff};{order:36,from:Shotgun,to:Shotgun};{order:37,from:Staff,to:Staff};{order:38,from:Shotgun,to:Shotgun};{order:39,from:Staff,to:Staff};{order:40,from:Shotgun,to:Shotgun};{order:41,from:Staff,to:Staff};{order:42,from:Shotgun,to:Shotgun};{order:43,from:Staff,to:Staff}",40.00,69,12,1,35,1,"C1Boss-MeleeAttack2Hitbox :10;C1Boss-DashAttackHitbox:20;C1Boss-CounterAttackHitbox:10"
"C2_Stage2_1","StrongerFeverTime",14.58,29,0,347.00,6.97,49.8077,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,2,0,2,0,""
"C2_Stage2_2","StrongerFeverTime",11.72,14,0,173.00,3.87,44.7354,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,2,0,3,0,""
"C2_Stage2_3","StrongerFeverTime",98.94,28,0,268.00,9.52,28.1613,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,23,0,202.50,11.68,17.3334,"{order:1,from:Spear,to:Spear}",0.00,17,2,0,10,0,""
"C2_Stage2_4","StrongerFeverTime",3.81,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C2_Stage2_5","StrongerFeverTime",169.18,86,0,0.00,26.98,0.0000,25,2,0.00,8.57,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,10,2,0.00,6.12,0.0000,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Spear,to:Spear};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Spear,to:Spear};{order:18,from:Staff,to:Staff}",10.00,23,5,1,9,0,"C1CannonExplode(Clone)-C1CannonExplode(Clone):10"
"C2_Boss_1","StrongerFeverTime",492.78,774,0,9428.00,226.73,41.5822,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,47,12,1175.00,18.43,63.7440,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff};{order:7,from:Spear,to:Spear};{order:8,from:Staff,to:Staff};{order:9,from:Spear,to:Spear};{order:10,from:Staff,to:Staff};{order:11,from:Spear,to:Spear};{order:12,from:Staff,to:Staff};{order:13,from:Spear,to:Spear};{order:14,from:Staff,to:Staff};{order:15,from:Spear,to:Spear};{order:16,from:Staff,to:Staff};{order:17,from:Spear,to:Spear};{order:18,from:Staff,to:Staff};{order:19,from:Spear,to:Spear};{order:20,from:Staff,to:Staff};{order:21,from:Spear,to:Spear};{order:22,from:Staff,to:Staff};{order:23,from:Spear,to:Spear};{order:24,from:Staff,to:Staff}",420.00,144,14,0,78,10,"C2Boss-Kickshot-Kick:160;C2Boss-Kickshot-Gun:20;C2Boss-Drillshot-Swing:100;C2Boss-Lineshot:60;C2Boss-Jumpshot:50;FX_Explosion-Hitbox:20;C2Boss-Drillshot-Gun1:10"
