SerialNumber,ECDF1CDE-3FF2-5F21-BAF1-9543126C3BB0
TotalPlayTime,1149.56
TotalDeathCount,0
TotalKilledEnemies,122
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",113.87,106,0,0.00,32.85,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,19,18,0,17,0,""
"C1_Stage2_1","",40.66,38,0,697.00,11.18,62.3248,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,4,34,4,0,""
"C1_Stage2_2","",109.07,12,0,28.20,5.53,5.0964,25,3,282.25,18.83,14.9867,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",10.00,11,3,6,3,0,"Stranger (tutorial boss)-Attack:10"
"C1_Stage2_3","",74.40,52,0,650.50,19.95,32.6062,21,3,358.40,8.23,43.5313,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",20.00,12,6,25,6,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",6.98,0,0,0.00,0.00,NaN,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,1,0,3,0,0,""
"C1_Stage2_5","",20.64,0,0,0.00,0.00,NaN,0,0,0.00,1.32,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,4,1,7,3,0,"FallDamageArea-:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_6","",47.39,28,0,433.70,8.25,52.5689,12,1,346.00,6.98,49.5469,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",50.00,10,3,16,7,0,"Hinge-Hitbox:20;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",33.01,20,0,297.00,8.30,35.7824,4,1,113.00,1.57,72.1228,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,9,1,8,6,0,"FallDamageArea (4)-:10;C1EliteTonpaMob-Rush Attack:10;Hinge-Hitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",43.54,59,0,1031.30,15.98,64.5227,5,1,98.00,1.75,56.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,10,7,4,6,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",41.26,7,0,74.00,2.75,26.9103,10,1,132.50,4.10,32.3173,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,2,2,7,2,0,"C1SandMecha-MeleeHitbox:20"
