SerialNumber,be7c2dedf74998e526268239d039891e3df48ff1
TotalPlayTime,863.32
TotalDeathCount,0
TotalKilledEnemies,99
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",61.97,12,1,0.00,6.02,0.0000,10,0,90.00,5.57,16.1676,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",0.00,5,0,1,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",40.18,25,3,497.00,10.63,46.7400,6,0,90.00,3.48,25.8375,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",0.00,14,1,3,1,0,""
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",47.12,17,0,97.00,5.62,17.2701,22,0,276.00,9.30,29.6776,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",10.00,11,0,2,2,0,"C1GunnerMobPrefab (4)-RangedAttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",23.28,17,0,222.00,6.00,36.9998,13,0,225.00,6.33,35.5266,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",10.00,10,0,6,2,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",53.61,28,0,430.00,9.35,45.9894,20,0,237.00,8.35,28.3834,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",20.00,13,0,2,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",15.21,18,0,245.00,6.30,38.8890,4,0,90.00,1.45,62.0698,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,7,0,2,1,0,"C1GunnerMobPrefab-RepelAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",130.03,14,0,159.00,5.33,29.8124,15,7,778.25,15.65,49.7285,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",0.00,9,0,0,1,0,""
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",33.28,14,0,82.00,5.73,14.2988,9,0,120.00,3.60,33.3330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",10.00,10,4,4,1,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",51.94,49,3,595.00,19.15,31.0705,7,0,135.00,4.82,28.0278,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,21,8,5,4,0,""
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",37.11,15,1,194.00,6.68,29.0279,5,0,0.00,4.68,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",0.00,9,2,2,0,0,""
"C2_Boss_4","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",14.29,14,0,120.00,5.02,23.9203,5,0,75.00,2.05,36.5845,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,6,3,1,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_5","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",89.61,39,6,514.25,17.97,28.6225,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,13,6,0,11,0,"FX_Explosion-Hitbox:10"
