SerialNumber,a3d2ff8511912b576b2409b3b956657722de35aa
TotalPlayTime,1483.79
TotalDeathCount,0
TotalKilledEnemies,150
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",102.25,113,0,0.00,32.05,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,17,16,0,8,0,"C1MidBoss-RushKick:10"
"C1_Stage2_1","",58.37,67,0,682.00,23.70,28.7763,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,12,4,9,3,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMobForDashTutorial (1)-AttackHitbox:20"
"C1_Stage2_2","",103.23,29,0,77.13,8.55,9.0210,25,3,237.40,26.40,8.9924,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",10.00,13,3,0,4,0,"C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",77.88,73,0,780.60,23.56,33.1354,9,3,199.00,5.01,39.7306,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff}",30.00,12,7,16,4,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",23.25,9,0,180.00,3.38,53.2034,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,1,0,9,1,0,"FallDamageArea-:10;Hinge-Hitbox:10"
"C1_Stage2_5","",52.97,48,0,603.80,15.51,38.9234,9,2,219.00,7.39,29.6444,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,10,2,12,3,0,"Hinge-Hitbox:10;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (2)-Attack:10"
"C1_Stage2_6","",79.30,88,0,1160.70,29.20,39.7530,15,4,315.00,7.60,41.4365,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",40.00,18,6,12,6,0,"Hinge-Hitbox:20;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_7","",32.18,21,0,320.00,8.47,37.7947,4,1,113.00,1.02,111.1480,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,5,1,4,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",48.48,62,0,1040.40,19.70,52.8125,5,1,113.00,1.08,104.3097,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,11,5,4,4,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",44.62,14,0,122.60,5.82,21.0774,12,1,92.00,11.33,8.1176,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,4,0,1,0,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",40.25,26,0,228.00,11.80,19.3220,6,1,86.00,4.95,17.3739,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,8,1,13,0,0,"FallDamageArea-:10;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Attack:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_2","",61.45,40,0,594.70,19.13,31.0858,14,3,255.00,8.19,31.1527,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",50.00,17,1,7,1,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",40.07,31,0,315.00,7.97,39.5397,12,4,593.00,14.38,41.2284,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,9,3,5,3,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_4","",56.27,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,1,0,0,""
"C1_Stage3_5","",11.51,2,0,0.00,1.63,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,3,0,0,""
"C1_Stage3_6","",88.58,64,0,887.00,25.56,34.7066,33,5,645.50,23.19,27.8314,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",70.00,18,2,11,1,0,"C1SandMecha-MeleeHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1PistolMob (5)-AttackHitbox:10;C1EliteTonpaMob (3)-Rush Attack:10"
