SerialNumber,e632cdec27deb0656758126f8c7cf75d6e3104f2
TotalPlayTime,1332.63
TotalDeathCount,1
TotalKilledEnemies,105
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",165.69,119,0,0.00,38.58,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,31,31,0,26,0,"C1MidBoss-TangTang 1:40;C1MidBoss-TangTang 2:10;C1MidBoss-RushKick:40"
"C1_Stage2_1","",70.37,61,0,694.00,21.50,32.2793,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,20,7,7,5,0,"C1TonpaMobPrefab (3)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",132.11,19,0,2.33,5.48,0.4249,34,3,347.40,32.35,10.7388,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,16,8,3,6,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",114.27,48,0,501.30,14.02,35.7643,44,5,539.00,41.43,13.0089,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,20,7,2,6,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",32.08,13,0,180.00,5.40,33.3336,9,2,161.00,8.33,19.3202,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,10,5,2,6,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_5","",51.30,45,1,657.40,15.10,43.5365,14,2,229.00,10.55,21.7062,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,12,4,7,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_6","",134.55,127,4,1944.10,45.28,42.9322,18,0,132.00,3.60,36.6663,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",130.00,44,16,10,13,1,"C1EliteTonpaMob (3)-Rush Attack:40;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:30;Hinge-Hitbox:40;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",40.52,29,1,379.00,10.75,35.2554,5,0,33.00,0.65,50.7769,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,7,2,5,4,0,"C1EliteTonpaMob-Rush Attack:20;C1PistolMob-AttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_8","",59.63,73,1,1117.30,21.63,51.6475,4,0,18.00,1.10,16.3640,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,14,3,2,4,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",65.13,36,1,175.20,14.17,12.3671,13,0,25.50,6.55,3.8930,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",50.00,8,1,4,1,0,"C1SandMecha-MeleeHitbox:50"
