SerialNumber,ca4a94cd726bffcf9a99d78e9475b3cc873ab893
TotalPlayTime,2366.95
TotalDeathCount,4
TotalKilledEnemies,74
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",145.61,127,0,0.00,47.57,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,52,46,0,20,0,"C1MidBoss-TangTang 1:20;C1MidBoss-TangTang 2:10;C1MidBoss-RushKick:10"
"C1_Stage2_1","",81.28,49,0,676.00,17.75,38.0845,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,13,4,8,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",253.73,16,0,2.20,4.18,0.5259,32,3,318.00,30.98,10.2636,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",20.00,14,13,2,4,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20"
"C1_Stage2_3","",237.13,40,0,203.10,14.42,14.0880,66,4,762.50,63.18,12.0681,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",90.00,46,9,14,4,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:20;C1EliteTonpaMobForDashTutorial-Attack:20;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_4","",103.36,0,0,0.00,0.00,NaN,58,4,949.50,48.98,19.3842,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",140.00,27,20,4,6,2,"Hinge-Hitbox:40;C1EliteTonpaMobForDashTutorial-Attack:20;C1TonpaMobPrefab (2)-AttackHitbox:40;C1EliteTonpaMobForDashTutorial-Rush Attack:30;FallDamageArea-:10"
"C1_Stage2_5","",101.85,0,0,0.00,0.00,NaN,44,4,906.50,46.57,19.4665,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,25,22,7,8,0,"Hinge-Hitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_6","",92.36,0,0,0.00,0.00,NaN,35,2,517.00,32.38,15.9651,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,23,19,5,6,1,"C1EliteTonpaMob (3)-Attack:10;C1EliteTonpaMob (3)-Rush Attack:10;FallDamageArea (2)-:10;Hinge-Hitbox:30;C1PistolMob (2)-AttackHitbox:20"
"C1_Stage3_1","",198.19,99,0,0.00,33.22,0.0000,15,0,0.00,13.85,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",50.00,44,40,3,21,0,"C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 1:20;C1MidBoss-RushKick:10;C1MidBoss-KickKick 2:10"
"C1_Boss_1","ReduceDashCooltime",100.82,2,0,0.00,4.10,0.0000,8,0,120.00,8.63,13.9001,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",10.00,13,3,1,2,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","ReduceDashCooltime",88.41,15,0,57.60,10.23,5.6286,29,3,480.00,26.60,18.0449,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",60.00,26,1,0,3,1,"C1EliteTonpaMob-Rush Attack:20;C1SandMecha (1)-MeleeHitbox:40"
