SerialNumber,9d83e7a2726d30f13f713d5a8d5b1b9107a13e71
TotalPlayTime,4554.87
TotalDeathCount,17
TotalKilledEnemies,378
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",204.12,106,0,0.00,39.67,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,43,39,0,9,0,"C1MidBoss-TangTang 1:10;C1MidBoss-TangTang 2:10"
"C1_Stage2_1","",58.13,47,0,690.00,16.50,41.8180,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,13,10,0,5,0,""
"C1_Stage2_2","",132.51,27,1,303.08,10.23,29.6168,19,1,2.10,15.28,0.1374,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",20.00,9,9,0,3,0,"C1EliteTonpaMobForDashTutorial-Attack:20"
"C1_Stage2_3","",87.70,53,0,874.00,20.42,42.8090,19,4,132.00,9.18,14.3737,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff}",20.00,18,16,0,6,0,"C1EliteTonpaMobForDashTutorial-Attack:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_4","",54.65,20,0,336.00,9.65,34.8190,12,1,188.90,5.80,32.5701,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",60.00,10,4,5,1,1,"Hinge-Hitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;FallDamageArea-:10;C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_5","",118.51,79,1,1364.80,32.17,42.4286,18,3,105.00,8.15,12.8836,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff}",40.00,31,26,9,9,1,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_6","",232.37,157,3,3021.60,63.23,47.7891,34,4,314.00,13.41,23.4236,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff}",150.00,74,60,16,29,3,"C1GunnerMobPrefab-RangedAttackHitbox:30;Hinge-Hitbox:30;C1EliteTonpaMob (4)-Attack:10;C1EliteTonpaMob (3)-Rush Attack:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (3)-:10;C1EliteTonpaMob (4)-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",35.80,25,0,429.00,9.47,45.3157,2,1,3.00,1.08,2.7691,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,5,2,2,0,"Hinge-Hitbox:10"
"C1_Stage2_8","",109.40,113,0,1925.40,34.05,56.5498,4,1,114.50,1.67,68.6112,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",50.00,21,20,0,9,1,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Stage2_9","",64.13,15,0,202.80,10.83,18.7195,10,1,12.00,5.25,2.2858,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,10,9,0,0,0,"C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:20"
