SerialNumber,9d83e7a2726d30f13f713d5a8d5b1b9107a13e71
TotalPlayTime,3676.80
TotalDeathCount,3
TotalKilledEnemies,317
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",104.69,98,0,0.00,32.47,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,29,27,0,11,0,"C1MidBoss-TangTang 1:10;C1MidBoss-RushKick:10"
"C1_Stage2_1","",52.40,41,0,688.00,13.28,51.7941,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,11,10,0,6,0,""
"C1_Stage2_2","",121.59,25,2,308.80,11.47,26.9301,20,0,2.10,14.33,0.1465,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,9,7,0,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20"
"C1_Stage2_3","",76.11,58,1,768.70,23.07,33.3248,11,2,214.00,3.00,71.3333,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,12,10,1,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",17.88,15,1,336.30,5.80,57.9835,2,0,3.00,0.95,3.1579,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,5,3,2,2,0,""
"C1_Stage2_5","",45.50,37,0,779.00,12.68,61.4191,4,2,6.00,2.30,2.6086,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,9,9,7,7,0,"C1PistolMobForDashTutorial-AttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_6","",65.50,64,3,1237.10,22.10,55.9776,9,0,219.00,3.35,65.3724,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,21,18,7,12,0,"C1TonpaMobPrefab (18)-AttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_7","",29.00,20,0,429.40,7.10,60.4796,2,1,3.00,0.97,3.1034,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,5,4,3,4,0,"Hinge-Hitbox:20"
"C1_Stage2_8","",54.62,55,1,1031.70,15.05,68.5518,8,0,93.00,6.17,15.0810,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,11,11,0,7,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Stage2_9","",32.32,14,1,204.00,5.25,38.8567,4,0,6.00,1.83,3.2728,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,3,2,0,1,0,""
