SerialNumber,34ea215155ef30fc7820f9c58fdecebf737c5620
TotalPlayTime,1935.74
TotalDeathCount,0
TotalKilledEnemies,48
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",128.05,107,0,0.00,37.83,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,31,9,0,8,0,"C1MidBoss-RushKick:20;C1MidBoss-TangTang 1:40;C1MidBoss-TangTang 2:10"
"C1_Stage2_1","",43.38,44,0,672.00,13.97,48.1145,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,10,2,0,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",63.92,23,2,269.23,11.37,23.6862,31,1,32.70,23.75,1.3769,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",50.00,18,4,3,3,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:40;C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage3_1","",121.96,97,0,0.00,30.35,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,24,16,0,12,0,"C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 1:10;C1MidBoss-KickKick 2:10;C1MidBoss-Room Center TangTang 1:10"
"C1_Boss_1","ReduceDashCooltime",43.85,6,0,109.00,1.93,56.3753,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,1,0,""
"C1_Boss_2","ReduceDashCooltime",86.27,21,0,326.00,11.97,27.2426,14,1,16.50,15.68,1.0521,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",100.00,25,0,0,0,0,"C1EliteTonpaMob-Rush Attack:60;C1SandMecha (1)-MeleeHitbox:10;C1EliteTonpaMob-Attack:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_3","ReduceDashCooltime",348.74,37,2,512.40,17.22,29.7609,60,7,1056.50,63.30,16.6903,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun}",160.00,41,10,6,11,0,"C1Boss-DashAttackHitbox:30;C1Boss-MeleeAttack2Hitbox :30;C1Boss-CounterAttackHitbox:40;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-MeleeAttack1Hitbox:20;C1Boss-FlameThrowerStartHitbox:10"
"C2_Stage2_1","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",28.93,16,0,181.00,5.67,31.9400,10,0,165.00,9.00,18.3331,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,6,3,0,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:20;C2TonpaManPrefab (3)-MeleeAttackHitbox:10;C2GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C2_Stage2_2","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",13.12,11,0,174.00,3.05,57.0483,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,2,0,1,0,""
"C2_Stage2_3","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",119.26,30,0,295.00,12.85,22.9570,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,21,0,122.50,12.75,9.6078,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",20.00,21,1,0,4,0,"C2GunnerMobPrefab (5)-RangedAttackHitbox:10;C2GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C2_Stage2_4","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",3.79,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,0,0,0,0,0,""
"C2_Stage2_5","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",2.27,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C2_Stage2_6","ReduceDashCooltime,ResetDashCooltimeOnWeaponChange",445.49,5,0,0.00,4.65,0.0000,181,4,0.00,148.47,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,27,2,0.00,13.98,0.0000,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Spear,to:Spear};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Spear,to:Spear};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Spear,to:Spear};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Spear,to:Spear};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Spear,to:Spear}",260.00,97,25,2,34,0,"FallDamageArea-:20;C2MidBoss Tanker-Melee:30;C2MidBoss Tanker-Rush:50;C2MidBoss Sniper-Crosshair:90;C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C2MidBoss Tanker-Electric Rush:20;C2MidBoss Tanker-Ground Slam:30"
