SerialNumber,b3904d7be87083a1816cec73f795c21a9b46702e
TotalPlayTime,1776.03
TotalDeathCount,14
TotalKilledEnemies,145
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",202.54,131,0,0.00,49.40,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",190.00,47,38,0,18,1,"C1MidBoss-TangTang 1:110;C1MidBoss-TangTang 2:40;C1MidBoss-RushKick:40"
"C1_Stage2_1","",96.85,52,0,667.00,28.25,23.6108,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,39,6,0,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:40;C1PistolMobForDashTutorial (1)-AttackHitbox:20"
"C1_Stage2_2","",105.52,10,0,0.96,6.78,0.1415,35,3,317.70,25.03,12.6911,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",50.00,6,4,0,3,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1EliteTonpaMobForDashTutorial-Attack:30"
"C1_Stage2_3","",114.28,30,0,331.70,15.12,21.9428,37,3,710.00,14.22,49.9414,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Staff,to:Staff};{order:18,from:Shotgun,to:Shotgun}",60.00,11,7,4,6,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1EliteTonpaMobForDashTutorial-Attack:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_4","",45.81,0,0,0.00,0.00,NaN,26,1,545.00,16.10,33.8511,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun}",70.00,7,3,4,4,1,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10;Hinge-Hitbox:40"
"C1_Stage2_5","",137.31,32,0,265.40,12.33,21.5186,53,3,943.00,28.82,32.7242,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun}",240.00,18,9,9,8,3,"Hinge-Hitbox:20;C1PistolMobForDashTutorial-AttackHitbox:110;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:50;C1EliteTonpaMob (2)-Attack:10;C1EliteTonpaMob (2)-Rush Attack:20;C1TonpaMobPrefab (10)-AttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage2_6","",68.63,20,0,486.00,6.13,79.2396,14,1,278.00,16.65,16.6970,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",70.00,27,2,16,4,0,"C1PistolMob (2)-AttackHitbox:20;Hinge-Hitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;FallDamageArea (3)-:10"
"C1_Stage2_7","",53.71,0,0,0.00,0.00,NaN,10,0,120.00,14.57,8.2381,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,16,0,5,2,1,"C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab (19)-AttackHitbox:20;FallDamageArea (4)-:10;Hinge-Hitbox:10"
"C1_Stage2_8","",66.45,13,0,189.00,5.90,32.0331,33,1,998.00,16.83,59.2879,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun}",60.00,9,2,1,3,0,"C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",101.96,4,0,27.00,1.38,19.5185,32,2,191.50,20.87,9.1774,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun}",110.00,6,0,1,0,1,"C1SandMecha-MeleeHitbox:100;C1SandMecha-DashAttackHitbox:10"
