SerialNumber,95bd2cec2d33b7d47d7851a3426844352c9edb82
TotalPlayTime,2263.43
TotalDeathCount,0
TotalKilledEnemies,122
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",82.15,103,0,0.00,31.17,0.0000,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,"",0.00,15,12,1,9,0,""
"C1_Stage2_1","",49.70,44,0,675.00,14.05,48.0429,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,"",30.00,11,3,1,3,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",59.36,15,0,2.21,2.88,0.7665,39,3,303.00,39.97,7.5813,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,"{order:1,from:Shotgun,to:Shotgun}",20.00,16,2,1,6,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20"
"C1_Stage3_1","",103.06,104,0,0.00,33.08,0.0000,5,0,0.00,2.50,0.0000,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,"{order:1,from:Staff,to:Staff}",50.00,26,13,0,13,0,"C1MidBoss-KickKick 1:20;C1MidBoss-Room Center TangTang 1:10;C1MidBoss-RushKick:10;C1MidBoss-KickKick 2:10"
"C1_Boss_1","MaxHPBuff1",279.24,63,0,627.00,28.48,22.0129,88,7,929.90,67.52,13.7731,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff}",180.00,46,5,9,18,0,"C1Boss-CounterAttackHitbox:50;C1Boss-DashAttackHitbox:80;C1Boss-FlameThrowerMainHitbox:20;C1Boss-FlameThrowerStartHitbox:10;C1Boss-MeleeAttack2Hitbox :10;C1Boss-MeleeAttack1Hitbox:10"
"C2_Stage2_1","MaxHPBuff1,ShieldOnDamage",17.05,26,0,327.00,8.37,39.0835,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,"",0.00,8,2,0,3,0,""
"C2_Stage2_2","MaxHPBuff1,ShieldOnDamage",11.97,13,0,174.00,3.95,44.0505,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,"",0.00,3,0,0,1,0,""
"C2_Stage2_3","MaxHPBuff1,ShieldOnDamage",149.06,17,0,257.00,7.77,33.0904,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,21,0,135.00,14.70,9.1837,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",0.00,26,2,0,13,0,""
"C2_Stage2_4","MaxHPBuff1,ShieldOnDamage",2.74,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,"",0.00,0,0,0,0,0,""
"C2_Stage2_5","MaxHPBuff1,ShieldOnDamage",36.92,27,1,352.50,10.93,32.2415,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,0,0,0.00,0.00,非數值,10,1,140.00,5.62,24.9262,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff}",10.00,14,5,0,4,0,"C2ElecWhipmanPrefabForDashTutorial-LowAttackHitBox:10"
