SerialNumber,f375d5df5ac6f9c4eda6681d7dcc9d76fcbf0d13
TotalPlayTime,2545.76
TotalDeathCount,25
TotalKilledEnemies,160
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",129.15,69,1,84.00,32.60,2.5767,5,1,0.00,6.23,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,7,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",72.72,48,0,579.00,23.20,24.9569,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,18,4,2,0,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:20"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",100.20,41,0,213.70,19.90,10.7387,27,0,189.00,22.50,8.4000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",60.00,24,4,1,4,1,"C1SandMecha-DashAttackHitbox:20;C1SandMecha-MeleeHitbox:40"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",55.68,15,0,108.00,6.23,17.3262,39,0,460.00,19.25,23.8960,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",40.00,14,0,9,1,1,"FallDamageArea-:40"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",310.90,153,0,1414.80,69.73,20.2888,80,0,722.00,51.57,14.0013,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff}",230.00,60,13,27,3,3,"C1SandMecha (1)-MeleeHitbox:50;C1SandMecha-MeleeHitbox:90;C1GunnerMobPrefab-RangedAttackHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",22.80,28,0,320.00,13.17,24.3038,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,3,1,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",333.65,59,3,453.00,30.22,14.9919,49,5,805.63,44.72,18.0161,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",150.00,39,1,2,10,2,"C1Boss-DashAttackHitbox:40;C1Boss-CounterAttackHitbox:30;C1Boss-FlameThrowerMiddleHitbox:30;C1Boss-MeleeAttack3Hitbox:10;C1Boss-FlameThrowerStartHitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",46.12,30,0,201.00,14.71,13.6633,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,10,8,12,2,0,""
"C2_Boss_2","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",245.53,167,4,1374.00,80.40,17.0896,33,1,299.38,29.15,10.2702,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",160.00,63,42,19,11,2,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2BombMobPrefab (1)-ExplosionHitBox:20;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:30;C2EliteMobPrefab-RushAttackHitBox:20;C2BombMobPrefab (2)-ExplosionHitBox:20;C2GunnerMobPrefab-RangedAttackHitbox:10;C2BombMobPrefab (3)-ExplosionHitBox:20;C2ShieldMobPrefab (2)-ShieldAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",67.47,24,0,122.00,12.00,10.1668,5,0,30.00,4.10,7.3173,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,15,2,8,2,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
