SerialNumber,bdc294ac3d318e4abb6b39943bdaa6b24bf18a9e
TotalPlayTime,2601.35
TotalDeathCount,6
TotalKilledEnemies,237
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",157.77,133,0,0.00,45.95,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,28,23,3,19,1,"C1MidBoss-TangTang 1:40;C1MidBoss-TangTang 2:10;C1MidBoss-RushKick:40"
"C1_Stage2_1","",58.58,48,0,688.00,15.12,45.5128,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,5,17,3,0,"C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_2","",117.27,18,0,2.21,5.47,0.4043,45,2,298.00,39.67,7.5126,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",30.00,10,6,0,8,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",114.90,0,0,0.00,2.53,0.0000,64,5,1020.00,59.23,17.2200,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun}",50.00,14,3,18,5,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMobForDashTutorial-Attack:10;C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",31.27,0,0,0.00,0.00,NaN,18,2,345.50,17.17,20.1263,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,7,3,4,4,0,"Hinge-Hitbox:20;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_5","",82.68,0,0,0.00,0.00,NaN,42,4,912.00,40.12,22.7336,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,13,9,10,7,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_6","",245.64,0,0,0.00,0.00,NaN,140,8,2737.50,120.48,22.7210,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",260.00,40,8,19,18,2,"C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (12)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:60;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:50;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob (3)-Rush Attack:30;C1EliteTonpaMob (4)-Rush Attack:20;Hinge-Hitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",41.67,0,0,0.00,0.00,NaN,24,2,446.00,22.97,19.4198,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,8,3,5,7,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",94.78,0,0,0.00,0.00,NaN,57,2,1205.00,54.22,22.2255,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,15,3,3,8,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_9","",47.08,0,0,0.00,0.00,NaN,23,2,200.00,22.02,9.0841,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,6,0,9,2,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",51.32,58,0,229.60,19.68,11.6646,4,1,98.00,0.90,108.8859,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,9,0,16,2,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_2","",67.20,13,0,149.40,3.23,46.2070,38,4,728.00,37.57,19.3790,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",70.00,14,2,6,3,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_3","",63.68,0,0,0.00,0.00,NaN,40,4,1300.50,34.40,37.8052,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,15,6,1,6,1,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_4","",48.84,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",6.66,0,0,0.00,0.00,NaN,0,0,0.00,0.90,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,0,0,""
"C1_Stage3_6","",113.62,0,0,0.00,0.00,NaN,85,9,1625.50,84.23,19.2976,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,27,1,5,4,0,"C1SandMecha-MeleeHitbox:30;C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (5)-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage3_7","",65.58,0,0,0.00,0.00,NaN,19,3,568.00,22.63,25.0958,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,11,0,17,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10"
"C1_Stage3_8","",269.23,0,0,0.00,0.00,NaN,161,0,0.00,133.28,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",210.00,73,62,0,52,1,"C1MidBoss-Taaang:20;C1MidBoss-TangTang 1:40;C1MidBoss-Room Center TangTang 1:80;C1MidBoss-RushKick:20;C1MidBoss-KickKick 1:40;C1MidBoss-KickKick 2:10"
"C1_Boss_1","ReduceDashCooltime",45.87,0,0,0.00,1.80,0.0000,7,0,120.00,6.77,17.7335,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,6,0,3,1,0,""
"C1_Boss_2","ReduceDashCooltime",147.93,0,0,0.00,0.00,NaN,87,12,2338.00,91.62,25.5192,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,36,0,0,5,1,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):20;C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob-Attack:20;C1SandMecha (1)-MeleeHitbox:30"
