SerialNumber,493a69f793eb262a5be77533bbbd823f2cd39291
TotalPlayTime,2606.40
TotalDeathCount,5
TotalKilledEnemies,137
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",143.22,113,0,0.00,40.62,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,34,25,0,20,0,"C1MidBoss-TangTang 1:30;C1MidBoss-RushKick:30;C1MidBoss-TangTang 2:10"
"C1_Stage2_1","",65.93,51,0,665.00,18.87,35.2473,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,13,4,6,2,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMobForDashTutorial (1)-AttackHitbox:10"
"C1_Stage2_2","",147.69,13,0,1.75,4.58,0.3818,45,4,304.05,46.68,6.5130,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",50.00,26,16,0,8,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1EliteTonpaMobForDashTutorial-Attack:30"
"C1_Stage2_3","",126.51,39,0,256.10,11.77,21.7657,37,2,583.00,36.77,15.8566,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",60.00,28,15,5,12,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:30;C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",33.47,0,0,0.00,0.00,NaN,21,2,376.00,18.32,20.5278,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,6,3,2,4,0,"Hinge-Hitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:20;C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_5","",89.33,16,0,274.00,5.00,54.8013,47,2,617.00,40.05,15.4057,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",80.00,19,11,7,8,1,"C1PistolMobForDashTutorial-AttackHitbox:60;Hinge-Hitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_6","",125.27,79,0,964.80,25.37,38.0347,33,5,528.00,34.33,15.3789,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun}",120.00,29,13,9,6,0,"FallDamageArea (1)-:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob (3)-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:30;Hinge-Hitbox:30;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",80.46,32,0,344.40,8.03,42.8714,24,4,477.00,26.35,18.1022,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",70.00,9,3,4,5,1,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20;Hinge-Hitbox:20;C1TonpaMobPrefab (19)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage2_8","",68.97,53,0,930.40,14.87,62.5833,17,2,180.50,18.32,9.8543,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",40.00,11,2,1,3,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",60.77,0,0,0.00,0.00,NaN,28,2,229.00,25.10,9.1237,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,10,3,0,3,0,"C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:10"
