SerialNumber,471ccd9f0f865fea897aa0ff25d5cab78d5d3256
TotalPlayTime,5230.42
TotalDeathCount,32
TotalKilledEnemies,401
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",154.32,118,0,0.00,35.25,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,20,19,0,14,0,"C1MidBoss-TangTang 1:10;C1MidBoss-TangTang 2:20"
"C1_Stage2_1","",233.56,133,0,1585.00,43.15,36.7323,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,19,11,6,5,2,"C1TonpaMobPrefab (1)-AttackHitbox:30;C1PistolMobForDashTutorial-AttackHitbox:40;C1PistolMobForDashTutorial (1)-AttackHitbox:10"
"C1_Stage2_2","",320.57,231,0,97.56,72.02,1.3547,73,4,322.35,84.05,3.8352,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Shotgun}",90.00,71,21,0,14,2,"C1EliteTonpaMobForDashTutorial-Rush Attack:60;C1EliteTonpaMobForDashTutorial-Attack:30"
"C1_Stage2_3","",338.69,141,0,1561.60,62.98,24.7938,70,14,1445.00,74.65,19.3569,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Staff,to:Staff};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Staff,to:Staff};{order:20,from:Shotgun,to:Shotgun};{order:21,from:Staff,to:Staff};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Staff,to:Staff};{order:29,from:Shotgun,to:Shotgun};{order:30,from:Staff,to:Staff}",140.00,92,9,4,7,3,"C1EliteTonpaMobForDashTutorial-Rush Attack:50;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:30;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMobForDashTutorial (1)-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",31.03,21,0,248.40,7.17,34.6613,4,1,98.00,2.98,32.8498,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,3,1,3,1,0,"Hinge-Hitbox:20"
"C1_Stage2_5","",174.33,140,1,2137.00,47.82,44.6914,13,4,250.00,8.33,29.9994,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",90.00,44,17,13,11,2,"Hinge-Hitbox:20;FallDamageArea-:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;FallDamageArea (1)-:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_6","",125.66,121,1,1861.90,43.32,42.9828,10,3,168.40,5.85,28.7864,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",60.00,47,21,10,10,1,"C1EliteTonpaMob (3)-Rush Attack:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob (4)-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",71.93,40,1,572.70,14.55,39.3620,7,1,101.00,2.73,36.9470,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",80.00,12,5,6,5,2,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;Hinge-Hitbox:40;FallDamageArea (4)-:20"
"C1_Stage2_8","",53.43,60,0,1089.40,21.15,51.5079,2,1,33.00,1.10,29.9907,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,19,7,0,5,0,""
"C1_Stage2_9","",159.20,14,0,124.00,8.82,14.0647,30,1,113.00,30.73,3.6768,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun}",170.00,24,6,0,0,4,"C1SandMecha-MeleeHitbox:170"
"C1_Stage3_1","",47.56,18,0,281.10,7.32,38.4218,2,1,33.00,1.10,29.9973,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",60.00,7,3,5,1,1,"FallDamageArea-:50;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",62.95,38,0,670.80,16.20,41.4069,9,2,119.00,7.92,15.0314,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,20,6,4,3,0,"C1EliteTonpaMob (2)-Rush Attack:10;FallDamageArea (1)-:20"
"C1_Stage3_3","",72.20,41,0,627.60,17.17,36.5601,22,4,218.50,16.63,13.1363,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",30.00,28,10,0,4,0,"C1EliteTonpaMob-Attack:20;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",61.39,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",14.18,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
