SerialNumber,32bd30b082f264833bed926d1d9a1cb548037b53
TotalPlayTime,2056.42
TotalDeathCount,4
TotalKilledEnemies,108
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",222.16,167,0,0.00,66.62,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",210.00,39,11,6,8,1,"C1MidBoss-TangTang 1:120;C1MidBoss-TangTang 2:50;C1MidBoss-RushKick:40"
"C1_Stage2_1","",58.18,46,0,674.00,13.77,48.9586,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,9,4,29,2,0,"C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",499.00,31,1,276.97,5.43,50.9759,20,1,31.50,18.48,1.7042,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",20.00,6,5,4,5,0,"C1EliteTonpaMobForDashTutorial-Attack:20"
"C1_Stage2_3","",93.26,36,1,394.90,17.35,22.7608,41,4,633.00,24.63,25.6971,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",30.00,12,10,19,6,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",26.61,22,0,341.20,6.50,52.4903,3,0,3.00,1.25,2.4000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",50.00,7,6,7,5,1,"Hinge-Hitbox:50"
"C1_Stage2_5","",34.15,39,1,539.90,11.92,45.3055,3,0,18.00,1.28,14.0261,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,8,6,11,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_6","",123.10,108,2,1706.40,33.33,51.1923,25,2,435.00,12.48,34.8453,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",170.00,27,15,23,12,2,"C1EliteTonpaMob (3)-Rush Attack:20;C1PistolMob (2)-AttackHitbox:20;Hinge-Hitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:30"
"C1_Stage3_1","",103.76,93,0,0.00,28.75,0.0000,2,0,0.00,1.25,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",40.00,18,11,0,9,0,"C1MidBoss-TangTang 2:10;C1MidBoss-KickKick 2:20;C1MidBoss-Taaang:10"
"C1_Boss_1","ResetDashCooltimeOnWeaponChange",48.02,12,0,82.00,3.50,23.4294,4,0,30.00,4.98,6.0198,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,1,0,8,0,0,""
"C1_Boss_2","ResetDashCooltimeOnWeaponChange",108.48,54,0,564.90,22.73,24.8490,53,3,918.00,41.07,22.3537,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",70.00,24,6,12,5,0,"C1EliteTonpaMob-Rush Attack:30;C1EliteTonpaMob-Attack:10;C1SandMecha (1)-MeleeHitbox:30"
"C1_Boss_3","ResetDashCooltimeOnWeaponChange",26.75,18,0,181.00,8.60,21.0463,6,1,113.00,2.17,52.1548,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,3,1,8,1,0,""
