SerialNumber,d0851b757d45a316f175a1ad09a9efd52e5a138f
TotalPlayTime,1240.70
TotalDeathCount,2
TotalKilledEnemies,117
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",176.65,107,0,0.00,39.22,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,25,15,1,11,0,"C1MidBoss-TangTang 1:10;C1MidBoss-RushKick:20"
"C1_Stage2_1","",57.15,50,0,692.00,16.40,42.1955,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,12,4,15,4,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",104.86,31,0,117.21,8.87,13.2190,20,2,191.65,19.87,9.6468,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",10.00,15,4,0,4,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_3","",74.71,54,1,831.80,22.15,37.5529,14,2,152.00,6.05,25.1238,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun}",0.00,16,6,10,6,0,""
"C1_Stage2_4","",20.75,17,0,238.70,6.60,36.1668,5,1,86.00,2.80,30.7151,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",20.00,6,2,3,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_5","",66.30,46,1,778.40,15.60,49.8975,19,2,334.00,13.20,25.3027,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",60.00,26,10,8,12,1,"Hinge-Hitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_6","",234.73,132,2,2060.90,51.57,39.9594,21,4,469.50,13.33,35.2345,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff}",70.00,59,13,12,17,1,"C1EliteTonpaMob (3)-Attack:10;C1PistolMob (2)-AttackHitbox:30;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (3)-Rush Attack:10;Hinge-Hitbox:10"
"C1_Stage2_7","",29.92,24,0,337.40,10.07,33.5178,5,1,98.00,2.48,39.4621,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,11,3,2,4,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",50.83,50,0,1008.90,18.85,53.5226,2,1,83.00,0.70,118.5797,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,20,5,0,3,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_9","",2.66,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
